$ nsys stats --force-export=true --report cuda_gpu_kern_sum,cuda_api_sum --format csv /root/zmuxuny-cuda-tuning/02_quant_dequant/zmuxuny/results/4090d/tuning/software/timeline_mxfp8.nsys-rep
Generating SQLite file /root/zmuxuny-cuda-tuning/02_quant_dequant/zmuxuny/results/4090d/tuning/software/timeline_mxfp8.sqlite from /root/zmuxuny-cuda-tuning/02_quant_dequant/zmuxuny/results/4090d/tuning/software/timeline_mxfp8.nsys-rep
Processing [/root/zmuxuny-cuda-tuning/02_quant_dequant/zmuxuny/results/4090d/tuning/software/timeline_mxfp8.sqlite] with [/usr/local/cuda-12.8/NsightSystems-cli-2024.6.2/target-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
57.0,133985,46,2912.7,2912.0,2784,3392,92.6,"void lp::quant_vector_kernel<(int)0, (int)1, (int)4>(const void *, unsigned char *, unsigned char *, const float *, lp::Layout)"
43.0,100929,46,2194.1,2192.0,2144,2272,24.9,"void lp::dequant_vector_kernel<(int)0, (int)1, (int)8>(const unsigned char *, const unsigned char *, float, void *, lp::Layout)"

Processing [/root/zmuxuny-cuda-tuning/02_quant_dequant/zmuxuny/results/4090d/tuning/software/timeline_mxfp8.sqlite] with [/usr/local/cuda-12.8/NsightSystems-cli-2024.6.2/target-linux-x64/reports/cuda_api_sum.py]...
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
87.9,94785032,5,18957006.4,58987.0,2310,94660583,42319595.6,cudaMalloc
9.0,9670851,46,210235.9,227857.0,116027,359413,81768.0,cudaMemcpyAsync
1.0,1107671,92,12039.9,3696.0,2618,715007,74122.2,cudaLaunchKernel
1.0,1038415,1,1038415.0,1038415.0,1038415,1038415,0.0,cudaGetDeviceProperties_v2_v12000
0.8,831454,5,166290.8,220902.0,15793,318718,138125.5,cudaMemcpy
0.3,315456,5,63091.2,80807.0,2290,143639,59602.1,cudaFree
0.0,32655,6,5442.5,3859.0,2805,12692,3759.8,cudaEventRecord
0.0,16126,3,5375.3,4184.0,1827,10115,4270.5,cudaEventSynchronize
0.0,12564,3,4188.0,4419.0,2588,5557,1497.9,cudaDeviceSynchronize
0.0,7139,1,7139.0,7139.0,7139,7139,0.0,cudaMemset
0.0,5604,6,934.0,625.5,413,1903,648.3,cudaEventCreate
0.0,2845,6,474.2,371.0,256,865,249.9,cudaEventDestroy
0.0,1289,1,1289.0,1289.0,1289,1289,0.0,cuModuleGetLoadingMode
