rows,dtype,format,vector,threads,trial,kernel_ms
32,0,0,1,256,0,0.0021248
32,0,0,4,128,0,0.00202176
32,0,0,8,128,0,0.00204288
32,0,0,4,256,0,0.00210432
32,0,0,8,256,0,0.00206336
32,0,0,4,512,0,0.00202752
32,0,0,8,512,0,0.00201696
32,0,0,1,256,1,0.00208832
32,0,0,4,512,1,0.0020224
32,0,0,8,512,1,0.00204288
32,0,0,4,256,1,0.00203776
32,0,0,8,256,1,0.00204288
32,0,0,4,128,1,0.0020224
32,0,0,8,128,1,0.00201728
32,0,0,1,256,2,0.00209408
32,0,0,4,128,2,0.00205824
32,0,0,8,128,2,0.00203264
32,0,0,4,256,2,0.00200736
32,0,0,8,256,2,0.00202752
32,0,0,4,512,2,0.00201216
32,0,0,8,512,2,0.00203776
32,0,1,1,256,0,0.00195584
32,0,1,4,128,0,0.0019304
32,0,1,8,128,0,0.00195072
32,0,1,4,256,0,0.00196096
32,0,1,8,256,0,0.00193584
32,0,1,4,512,0,0.00196096
32,0,1,8,512,0,0.0020736
32,0,1,1,256,1,0.00194048
32,0,1,4,512,1,0.00196608
32,0,1,8,512,1,0.0020736
32,0,1,4,256,1,0.00197632
32,0,1,8,256,1,0.00195088
32,0,1,4,128,1,0.00196608
32,0,1,8,128,1,0.00195072
32,0,1,1,256,2,0.00197632
32,0,1,4,128,2,0.00195584
32,0,1,8,128,2,0.0019456
32,0,1,4,256,2,0.0019456
32,0,1,8,256,2,0.00196096
32,0,1,4,512,2,0.00196608
32,0,1,8,512,2,0.00211968
32,1,0,1,256,0,0.0019712
32,1,0,4,128,0,0.00199168
32,1,0,8,128,0,0.00193024
32,1,0,4,256,0,0.00195072
32,1,0,8,256,0,0.00194048
32,1,0,4,512,0,0.00195568
32,1,0,8,512,0,0.00195584
32,1,0,1,256,1,0.00195072
32,1,0,4,512,1,0.00193536
32,1,0,8,512,1,0.00194048
32,1,0,4,256,1,0.00195584
32,1,0,8,256,1,0.00195584
32,1,0,4,128,1,0.00194048
32,1,0,8,128,1,0.00195072
32,1,0,1,256,2,0.00195072
32,1,0,4,128,2,0.00193984
32,1,0,8,128,2,0.00194048
32,1,0,4,256,2,0.00195072
32,1,0,8,256,2,0.00195072
32,1,0,4,512,2,0.0019456
32,1,0,8,512,2,0.00195552
32,1,1,1,256,0,0.00195536
32,1,1,4,128,0,0.00194048
32,1,1,8,128,0,0.00195584
32,1,1,4,256,0,0.00194048
32,1,1,8,256,0,0.00196608
32,1,1,4,512,0,0.00195072
32,1,1,8,512,0,0.0020224
32,1,1,1,256,1,0.00196608
32,1,1,4,512,1,0.00195072
32,1,1,8,512,1,0.00195584
32,1,1,4,256,1,0.00195072
32,1,1,8,256,1,0.00192512
32,1,1,4,128,1,0.00196608
32,1,1,8,128,1,0.00193536
32,1,1,1,256,2,0.00195584
32,1,1,4,128,2,0.00197632
32,1,1,8,128,2,0.00195072
32,1,1,4,256,2,0.00195584
32,1,1,8,256,2,0.00195584
32,1,1,4,512,2,0.00195584
