count,dtype,vector,threads,blocks,trial,amax_with_clear_ms
1048576,0,1,256,256,0,0.00489472
1048576,0,4,128,128,0,0.00518827
1048576,0,8,128,128,0,0.00432128
1048576,0,4,128,256,0,0.00413013
1048576,0,8,128,256,0,0.00393173
1048576,0,4,128,512,0,0.00391851
1048576,0,8,128,512,0,0.00390443
1048576,0,4,128,1024,0,0.00389845
1048576,0,8,128,1024,0,0.00389803
1048576,0,4,256,128,0,0.00418475
1048576,0,8,256,128,0,0.00395264
1048576,0,4,256,256,0,0.00391851
1048576,0,8,256,256,0,0.00391168
1048576,0,4,256,512,0,0.00389803
1048576,0,8,256,512,0,0.00389803
1048576,0,4,256,1024,0,0.00395947
1048576,0,8,256,1024,0,0.00393899
1048576,0,4,512,128,0,0.00395947
1048576,0,8,512,128,0,0.00406869
1048576,0,4,512,256,0,0.00391851
1048576,0,8,512,256,0,0.00394581
1048576,0,4,512,512,0,0.00394581
1048576,0,8,512,512,0,0.00392533
1048576,0,4,512,1024,0,0.00463531
1048576,0,8,512,1024,0,0.00455339
1048576,0,1,256,256,1,0.00488789
1048576,0,4,128,1024,1,0.00390485
1048576,0,8,128,1024,1,0.00392533
1048576,0,4,128,512,1,0.00390485
1048576,0,8,128,512,1,0.00389803
1048576,0,4,128,256,1,0.00413696
1048576,0,8,128,256,1,0.00392533
1048576,0,4,128,128,1,0.00515413
1048576,0,8,128,128,1,0.00433493
1048576,0,4,256,1024,1,0.00395947
1048576,0,8,256,1024,1,0.00393899
1048576,0,4,256,512,1,0.00389803
1048576,0,8,256,512,1,0.00392533
1048576,0,4,256,256,1,0.00392533
1048576,0,8,256,256,1,0.00389803
1048576,0,4,256,128,1,0.00418475
1048576,0,8,256,128,1,0.00394581
1048576,0,4,512,1024,1,0.00463531
1048576,0,8,512,1024,1,0.00454656
1048576,0,4,512,512,1,0.00393899
1048576,0,8,512,512,1,0.00391829
1048576,0,4,512,256,1,0.00390485
1048576,0,8,512,256,1,0.00393216
1048576,0,4,512,128,1,0.00395264
1048576,0,8,512,128,1,0.00405483
1048576,0,1,256,256,2,0.00488107
1048576,0,4,128,128,2,0.00520875
1048576,0,8,128,128,2,0.00432811
1048576,0,4,128,256,2,0.00410965
1048576,0,8,128,256,2,0.00393216
1048576,0,4,128,512,2,0.00390485
1048576,0,8,128,512,2,0.00389803
1048576,0,4,128,1024,2,0.00389824
1048576,0,8,128,1024,2,0.00390485
1048576,0,4,256,128,2,0.00420523
1048576,0,8,256,128,2,0.00393899
1048576,0,4,256,256,2,0.00391168
1048576,0,8,256,256,2,0.00389803
1048576,0,4,256,512,2,0.00389803
1048576,0,8,256,512,2,0.00390485
1048576,0,4,256,1024,2,0.00394581
1048576,0,8,256,1024,2,0.00393259
1048576,0,4,512,128,2,0.00396629
1048576,0,8,512,128,2,0.00404757
1048576,0,4,512,256,2,0.00391829
1048576,0,8,512,256,2,0.00394581
1048576,0,4,512,512,2,0.00395947
1048576,0,8,512,512,2,0.00391851
1048576,0,4,512,1024,2,0.00462848
1048576,0,8,512,1024,2,0.00454656
1048576,1,1,256,256,0,0.00483328
1048576,1,4,128,128,0,0.00518784
1048576,1,8,128,128,0,0.00408917
1048576,1,4,128,256,0,0.00398677
1048576,1,8,128,256,0,0.00352256
1048576,1,4,128,512,0,0.00361131
1048576,1,8,128,512,0,0.0033792
1048576,1,4,128,1024,0,0.00361131
1048576,1,8,128,1024,0,0.00342016
1048576,1,4,256,128,0,0.00401408
1048576,1,8,256,128,0,0.00357035
1048576,1,4,256,256,0,0.00350208
1048576,1,8,256,256,0,0.00339968
1048576,1,4,256,512,0,0.00339968
1048576,1,8,256,512,0,0.00339285
1048576,1,4,256,1024,0,0.00390485
1048576,1,8,256,1024,0,0.00354304
1048576,1,4,512,128,0,0.003584
1048576,1,8,512,128,0,0.00350208
1048576,1,4,512,256,0,0.00338603
1048576,1,8,512,256,0,0.00343381
1048576,1,4,512,512,0,0.00376832
1048576,1,8,512,512,0,0.003584
1048576,1,4,512,1024,0,0.00443008
1048576,1,8,512,1024,0,0.00423915
1048576,1,1,256,256,1,0.00482027
1048576,1,4,128,1024,1,0.003584
1048576,1,8,128,1024,1,0.00342699
1048576,1,4,128,512,1,0.00362475
1048576,1,8,128,512,1,0.00338603
1048576,1,4,128,256,1,0.00397312
1048576,1,8,128,256,1,0.00352256
1048576,1,4,128,128,1,0.00518827
1048576,1,8,128,128,1,0.004096
1048576,1,4,256,1024,1,0.00382976
1048576,1,8,256,1024,1,0.00354304
1048576,1,4,256,512,1,0.00341333
1048576,1,8,256,512,1,0.0033792
1048576,1,4,256,256,1,0.0034816
1048576,1,8,256,256,1,0.00338603
1048576,1,4,256,128,1,0.00403456
1048576,1,8,256,128,1,0.00356352
1048576,1,4,512,1024,1,0.00443051
1048576,1,8,512,1024,1,0.00423936
1048576,1,4,512,512,1,0.00381611
1048576,1,8,512,512,1,0.003584
1048576,1,4,512,256,1,0.00337237
1048576,1,8,512,256,1,0.00342699
1048576,1,4,512,128,1,0.00359765
1048576,1,8,512,128,1,0.00348843
1048576,1,1,256,256,2,0.00483328
1048576,1,4,128,128,2,0.005168
1048576,1,8,128,128,2,0.00408917
1048576,1,4,128,256,2,0.0039936
1048576,1,8,128,256,2,0.00352256
1048576,1,4,128,512,2,0.00359765
1048576,1,8,128,512,2,0.00339285
1048576,1,4,128,1024,2,0.00360448
1048576,1,8,128,1024,2,0.00342016
1048576,1,4,256,128,2,0.00401387
1048576,1,8,256,128,2,0.00357035
1048576,1,4,256,256,2,0.00351573
1048576,1,8,256,256,2,0.00338603
1048576,1,4,256,512,2,0.00341333
1048576,1,8,256,512,2,0.00339285
1048576,1,4,256,1024,2,0.0038912
1048576,1,8,256,1024,2,0.00353621
1048576,1,4,512,128,2,0.00359765
1048576,1,8,512,128,2,0.0034816
1048576,1,4,512,256,2,0.00339285
1048576,1,8,512,256,2,0.00342699
1048576,1,4,512,512,2,0.00379499
1048576,1,8,512,512,2,0.00359701
1048576,1,4,512,1024,2,0.00441003
1048576,1,8,512,1024,2,0.00423253
33554432,0,1,256,256,0,0.164582
33554432,0,4,128,128,0,0.169984
33554432,0,8,128,128,0,0.142746
33554432,0,4,128,256,0,0.142618
33554432,0,8,128,256,0,0.140698
33554432,0,4,128,512,0,0.140774
33554432,0,8,128,512,0,0.139981
33554432,0,4,128,1024,0,0.139981
33554432,0,8,128,1024,0,0.140182
33554432,0,4,256,128,0,0.142669
33554432,0,8,256,128,0,0.140723
33554432,0,4,256,256,0,0.140672
33554432,0,8,256,256,0,0.139825
33554432,0,4,256,512,0,0.13993
33554432,0,8,256,512,0,0.140211
33554432,0,4,256,1024,0,0.13993
33554432,0,8,256,1024,0,0.139981
33554432,0,4,512,128,0,0.140698
33554432,0,8,512,128,0,0.139904
33554432,0,4,512,256,0,0.139981
33554432,0,8,512,256,0,0.139906
33554432,0,4,512,512,0,0.13993
33554432,0,8,512,512,0,0.140058
33554432,0,4,512,1024,0,0.140058
33554432,0,8,512,1024,0,0.139853
33554432,0,1,256,256,1,0.164787
33554432,0,4,128,1024,1,0.140028
33554432,0,8,128,1024,1,0.140186
33554432,0,4,128,512,1,0.140851
33554432,0,8,128,512,1,0.139878
33554432,0,4,128,256,1,0.142592
33554432,0,8,128,256,1,0.140698
33554432,0,4,128,128,1,0.169984
33554432,0,8,128,128,1,0.142771
33554432,0,4,256,1024,1,0.140006
33554432,0,8,256,1024,1,0.139953
33554432,0,4,256,512,1,0.139954
33554432,0,8,256,512,1,0.140237
33554432,0,4,256,256,1,0.140672
33554432,0,8,256,256,1,0.139879
33554432,0,4,256,128,1,0.142515
33554432,0,8,256,128,1,0.140698
33554432,0,4,512,1024,1,0.140058
33554432,0,8,512,1024,1,0.13985
33554432,0,4,512,512,1,0.139955
33554432,0,8,512,512,1,0.140032
33554432,0,4,512,256,1,0.139931
33554432,0,8,512,256,1,0.139904
33554432,0,4,512,128,1,0.140646
33554432,0,8,512,128,1,0.13993
33554432,0,1,256,256,2,0.164659
33554432,0,4,128,128,2,0.16983
33554432,0,8,128,128,2,0.142899
33554432,0,4,128,256,2,0.142464
33554432,0,8,128,256,2,0.140723
33554432,0,4,128,512,2,0.140979
33554432,0,8,128,512,2,0.139904
33554432,0,4,128,1024,2,0.139955
33554432,0,8,128,1024,2,0.140186
33554432,0,4,256,128,2,0.142694
33554432,0,8,256,128,2,0.14072
33554432,0,4,256,256,2,0.140646
33554432,0,8,256,256,2,0.139955
33554432,0,4,256,512,2,0.139955
33554432,0,8,256,512,2,0.140237
33554432,0,4,256,1024,2,0.139981
33554432,0,8,256,1024,2,0.13993
33554432,0,4,512,128,2,0.140646
33554432,0,8,512,128,2,0.13993
33554432,0,4,512,256,2,0.139981
33554432,0,8,512,256,2,0.13993
33554432,0,4,512,512,2,0.139955
33554432,0,8,512,512,2,0.140058
33554432,0,4,512,1024,2,0.14003
33554432,0,8,512,1024,2,0.139878
33554432,1,1,256,256,0,0.06464
33554432,1,4,128,128,0,0.076544
33554432,1,8,128,128,0,0.043648
33554432,1,4,128,256,0,0.0409856
33554432,1,8,128,256,0,0.0246272
33554432,1,4,128,512,0,0.023424
33554432,1,8,128,512,0,0.0181504
33554432,1,4,128,1024,0,0.0182528
33554432,1,8,128,1024,0,0.017536
33554432,1,4,256,128,0,0.0408064
33554432,1,8,256,128,0,0.0251136
33554432,1,4,256,256,0,0.0234752
33554432,1,8,256,256,0,0.0183552
33554432,1,4,256,512,0,0.018048
33554432,1,8,256,512,0,0.017664
33554432,1,4,256,1024,0,0.0185088
33554432,1,8,256,1024,0,0.0185088
33554432,1,4,512,128,0,0.0249856
33554432,1,8,512,128,0,0.0187904
33554432,1,4,512,256,0,0.018432
33554432,1,8,512,256,0,0.0176384
33554432,1,4,512,512,0,0.0199408
33554432,1,8,512,512,0,0.0187136
33554432,1,4,512,1024,0,0.0182784
33554432,1,8,512,1024,0,0.0180992
33554432,1,1,256,256,1,0.0645632
33554432,1,4,128,1024,1,0.0182784
33554432,1,8,128,1024,1,0.017536
33554432,1,4,128,512,1,0.0233728
33554432,1,8,128,512,1,0.0180736
33554432,1,4,128,256,1,0.04096
33554432,1,8,128,256,1,0.0246272
33554432,1,4,128,128,1,0.076544
33554432,1,8,128,128,1,0.0436224
33554432,1,4,256,1024,1,0.0184832
33554432,1,8,256,1024,1,0.0185096
33554432,1,4,256,512,1,0.0180736
33554432,1,8,256,512,1,0.0176896
33554432,1,4,256,256,1,0.0235008
33554432,1,8,256,256,1,0.0183552
33554432,1,4,256,128,1,0.0407808
33554432,1,8,256,128,1,0.0251128
33554432,1,4,512,1024,1,0.0182784
33554432,1,8,512,1024,1,0.0180736
33554432,1,4,512,512,1,0.019968
33554432,1,8,512,512,1,0.0187904
33554432,1,4,512,256,1,0.0184576
33554432,1,8,512,256,1,0.0176384
33554432,1,4,512,128,1,0.0248832
33554432,1,8,512,128,1,0.0187904
33554432,1,1,256,256,2,0.0645376
33554432,1,4,128,128,2,0.0765184
33554432,1,8,128,128,2,0.0436736
33554432,1,4,128,256,2,0.040984
33554432,1,8,128,256,2,0.0246528
33554432,1,4,128,512,2,0.0233728
33554432,1,8,128,512,2,0.0181496
33554432,1,4,128,1024,2,0.0182784
33554432,1,8,128,1024,2,0.0175104
33554432,1,4,256,128,2,0.0408064
33554432,1,8,256,128,2,0.025088
33554432,1,4,256,256,2,0.023424
33554432,1,8,256,256,2,0.0183808
33554432,1,4,256,512,2,0.0180992
33554432,1,8,256,512,2,0.0176896
33554432,1,4,256,1024,2,0.0185344
33554432,1,8,256,1024,2,0.0185344
33554432,1,4,512,128,2,0.0249088
33554432,1,8,512,128,2,0.018816
33554432,1,4,512,256,2,0.0184576
33554432,1,8,512,256,2,0.0176384
33554432,1,4,512,512,2,0.0199696
33554432,1,8,512,512,2,0.018816
33554432,1,4,512,1024,2,0.0182784
33554432,1,8,512,1024,2,0.0180736
