rows,dtype,format,vector,threads,trial,kernel_ms
32,0,0,1,256,0,0.00205824
32,0,0,2,128,0,0.00202752
32,0,0,4,128,0,0.0020736
32,0,0,8,128,0,0.00203776
32,0,0,2,256,0,0.0020736
32,0,0,4,256,0,0.00203744
32,0,0,8,256,0,0.00210432
32,0,0,2,512,0,0.00203776
32,0,0,4,512,0,0.00202752
32,0,0,8,512,0,0.00228352
32,0,0,1,256,1,0.00204288
32,0,0,2,512,1,0.00206848
32,0,0,4,512,1,0.00203776
32,0,0,8,512,1,0.0022936
32,0,0,2,256,1,0.00204288
32,0,0,4,256,1,0.00204288
32,0,0,8,256,1,0.00206848
32,0,0,2,128,1,0.00204816
32,0,0,4,128,1,0.002048
32,0,0,8,128,1,0.002048
32,0,0,1,256,2,0.00195584
32,0,0,2,128,2,0.00193536
32,0,0,4,128,2,0.00195072
32,0,0,8,128,2,0.0019968
32,0,0,2,256,2,0.00201728
32,0,0,4,256,2,0.00196096
32,0,0,8,256,2,0.00206336
32,0,0,2,512,2,0.00195584
32,0,0,4,512,2,0.00195584
32,0,0,8,512,2,0.00228864
32,0,1,1,256,0,0.00199168
32,0,1,2,128,0,0.00200192
32,0,1,4,128,0,0.00196096
32,0,1,8,128,0,0.00220672
32,0,1,2,256,0,0.00196608
32,0,1,4,256,0,0.00203264
32,0,1,8,256,0,0.0023552
32,0,1,2,512,0,0.00206336
32,0,1,4,512,0,0.00219648
32,0,1,8,512,0,0.00264192
32,0,1,1,256,1,0.00198656
32,0,1,2,512,1,0.00206336
32,0,1,4,512,1,0.00219648
32,0,1,8,512,1,0.002652
32,0,1,2,256,1,0.0019712
32,0,1,4,256,1,0.00203264
32,0,1,8,256,1,0.00235008
32,0,1,2,128,1,0.00198112
32,0,1,4,128,1,0.00200704
32,0,1,8,128,1,0.00220672
32,0,1,1,256,2,0.0019712
32,0,1,2,128,2,0.00197632
32,0,1,4,128,2,0.00196096
32,0,1,8,128,2,0.0022016
32,0,1,2,256,2,0.00197632
32,0,1,4,256,2,0.00202752
32,0,1,8,256,2,0.00235008
32,0,1,2,512,2,0.00205824
32,0,1,4,512,2,0.00219648
32,0,1,8,512,2,0.00264704
32,1,0,1,256,0,0.00196608
32,1,0,2,128,0,0.00195584
32,1,0,4,128,0,0.00196544
32,1,0,8,128,0,0.00203776
32,1,0,2,256,0,0.00194048
32,1,0,4,256,0,0.00195584
32,1,0,8,256,0,0.00200192
32,1,0,2,512,0,0.00197632
32,1,0,4,512,0,0.00195072
32,1,0,8,512,0,0.002176
32,1,0,1,256,1,0.00196608
32,1,0,2,512,1,0.00194064
32,1,0,4,512,1,0.00200192
32,1,0,8,512,1,0.00218112
32,1,0,2,256,1,0.00197632
32,1,0,4,256,1,0.00195536
32,1,0,8,256,1,0.00199168
32,1,0,2,128,1,0.00196096
32,1,0,4,128,1,0.00195584
32,1,0,8,128,1,0.00196096
32,1,0,1,256,2,0.0019712
32,1,0,2,128,2,0.0019712
32,1,0,4,128,2,0.0019456
32,1,0,8,128,2,0.00197088
32,1,0,2,256,2,0.00196608
32,1,0,4,256,2,0.00195584
