Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,46,ascend_quant,ascend_quant,static,AI_CORE,1789891394116775.233	,142.042,0,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.516,8425387,0.016,0.0,89.766,0.921,2.694,0.028,0.664,0.007,0.001,0.000
0,4294967295,1,46,ascend_quant,ascend_quant,static,AI_CORE,1789891394116917.295	,133.523,0.000000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.411,7725136,0.016,0.0,88.715,0.992,0.323,0.004,0.339,0.004,0.0,0.000
0,4294967295,2,46,ascend_quant,ascend_quant,static,AI_CORE,1789891394117050.838	,133.803,0.000000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.567,7738617,0.016,0.0,88.817,0.992,0.375,0.004,0.342,0.004,0.0,0.000
0,4294967295,4,46,ascend_quant,ascend_quant,static,AI_CORE,1789891394117313.803	,133.523,129.197000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.403,7724449,0.016,0.0,88.705,0.992,0.323,0.004,0.34,0.004,0.0,0.000
0,4294967295,5,46,ascend_quant,ascend_quant,static,AI_CORE,1789891394117447.346	,133.523,0.000000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.381,7722512,0.016,0.0,88.683,0.992,0.318,0.004,0.347,0.004,0.0,0.000
0,4294967295,7,46,ascend_dequant,ascend_dequant,static,AI_CORE,1789891394117701.791	,59.301,120.977000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.045,4323906,0.022,0.0,45.937,0.918,0.001,0.0,0.974,0.019,0.001,0.000
0,4294967295,8,46,ascend_dequant,ascend_dequant,static,AI_CORE,1789891394117761.112	,51.881,0.000000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.354,3918589,0.022,0.0,44.928,0.991,0.001,0.0,0.361,0.008,0.0,0.000
0,4294967295,9,46,ascend_dequant,ascend_dequant,static,AI_CORE,1789891394117813.033	,52.001,0.119000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.377,3920546,0.022,0.0,44.951,0.991,0.001,0.0,0.361,0.008,0.0,0.000
0,4294967295,11,46,ascend_dequant,ascend_dequant,static,AI_CORE,1789891394117901.215	,51.941,36.249000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.339,3917331,0.022,0.0,44.914,0.991,0.001,0.0,0.361,0.008,0.0,0.000
0,4294967295,12,46,ascend_dequant,ascend_dequant,static,AI_CORE,1789891394117953.176	,51.941,0.059000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.343,3917659,0.022,0.0,44.918,0.991,0.001,0.0,0.361,0.008,0.0,0.000
