Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789891394107395.885	,1789891394107395.885	
0,ascend_quant,AI_CORE,46,0,142.042,1789891394116775.233	,1789891394116917.275	
0,ascend_quant,AI_CORE,46,1,133.522,1789891394116917.295	,1789891394117050.818	
0,ascend_quant,AI_CORE,46,2,133.802,1789891394117050.838	,1789891394117184.641	
0,N/A,EVENT_RECORD,46,3,0.020,1789891394117312.363	,1789891394117312.383	
0,ascend_quant,AI_CORE,46,4,133.522,1789891394117313.803	,1789891394117447.326	
0,ascend_quant,AI_CORE,46,5,133.522,1789891394117447.346	,1789891394117580.869	
0,N/A,EVENT_RECORD,46,6,0.000,1789891394117580.909	,1789891394117580.909	
0,ascend_dequant,AI_CORE,46,7,59.301,1789891394117701.791	,1789891394117761.092	
0,ascend_dequant,AI_CORE,46,8,51.881,1789891394117761.112	,1789891394117812.993	
0,ascend_dequant,AI_CORE,46,9,52.001,1789891394117813.033	,1789891394117865.034	
0,N/A,EVENT_RECORD,46,10,0.020,1789891394117899.995	,1789891394117900.015	
0,ascend_dequant,AI_CORE,46,11,51.941,1789891394117901.215	,1789891394117953.156	
0,ascend_dequant,AI_CORE,46,12,51.941,1789891394117953.176	,1789891394118005.117	
0,N/A,EVENT_RECORD,46,13,0.020,1789891394118005.137	,1789891394118005.157	
0,ascend_quant,AI_CORE,46,14,133.762,1789891394118257.262	,1789891394118391.025	
0,ascend_dequant,AI_CORE,46,15,51.941,1789891394118391.045	,1789891394118442.986	
0,ascend_quant,AI_CORE,46,16,133.882,1789891394118612.349	,1789891394118746.232	
0,ascend_dequant,AI_CORE,46,17,51.921,1789891394118746.252	,1789891394118798.173	
0,ascend_quant,AI_CORE,46,18,133.882,1789891394118959.576	,1789891394119093.459	
0,ascend_dequant,AI_CORE,46,19,51.881,1789891394119093.499	,1789891394119145.380	
0,N/A,EVENT_RECORD,46,20,0.020,1789891394119277.823	,1789891394119277.843	
0,ascend_quant,AI_CORE,46,21,133.842,1789891394119363.044	,1789891394119496.887	
0,ascend_dequant,AI_CORE,46,22,51.881,1789891394119496.907	,1789891394119548.788	
0,ascend_quant,AI_CORE,46,23,133.842,1789891394119714.171	,1789891394119848.014	
0,ascend_dequant,AI_CORE,46,24,52.381,1789891394119848.034	,1789891394119900.415	
0,N/A,EVENT_RECORD,46,25,0.020,1789891394120019.097	,1789891394120019.117	
0,N/A,PROFILING_DISABLE,49,4,0.020,1789891394123179.921	,1789891394123179.941	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1789891394123233.102	,1789891394123233.102	
