Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1789891388043479.737	,1789891388043479.757	
0,ascend_quant,AI_CORE,46,0,8.240,1789891388052115.870	,1789891388052124.110	
0,ascend_quant,AI_CORE,46,1,7.560,1789891388052130.310	,1789891388052137.870	
0,ascend_quant,AI_CORE,46,2,7.240,1789891388052137.890	,1789891388052145.130	
0,N/A,EVENT_RECORD,46,3,0.020,1789891388052261.473	,1789891388052261.493	
0,ascend_quant,AI_CORE,46,4,6.760,1789891388052262.733	,1789891388052269.493	
0,ascend_quant,AI_CORE,46,5,5.240,1789891388052283.533	,1789891388052288.773	
0,N/A,EVENT_RECORD,46,6,0.020,1789891388052289.853	,1789891388052289.873	
0,ascend_dequant,AI_CORE,46,7,3.980,1789891388052419.916	,1789891388052423.896	
0,ascend_dequant,AI_CORE,46,8,4.040,1789891388052423.916	,1789891388052427.956	
0,ascend_dequant,AI_CORE,46,9,3.840,1789891388052427.976	,1789891388052431.816	
0,N/A,EVENT_RECORD,46,10,0.020,1789891388052460.256	,1789891388052460.276	
0,ascend_dequant,AI_CORE,46,11,3.820,1789891388052461.497	,1789891388052465.317	
0,ascend_dequant,AI_CORE,46,12,3.880,1789891388052473.157	,1789891388052477.037	
0,N/A,EVENT_RECORD,46,13,0.020,1789891388052481.637	,1789891388052481.657	
0,ascend_quant,AI_CORE,46,14,4.640,1789891388052568.559	,1789891388052573.199	
0,ascend_dequant,AI_CORE,46,15,2.960,1789891388052573.239	,1789891388052576.199	
0,ascend_quant,AI_CORE,46,16,4.940,1789891388052627.880	,1789891388052632.820	
0,ascend_dequant,AI_CORE,46,17,2.880,1789891388052632.840	,1789891388052635.720	
0,ascend_quant,AI_CORE,46,18,4.600,1789891388052682.601	,1789891388052687.201	
0,ascend_dequant,AI_CORE,46,19,3.400,1789891388052687.241	,1789891388052690.641	
0,N/A,EVENT_RECORD,46,20,0.000,1789891388052732.222	,1789891388052732.222	
0,ascend_quant,AI_CORE,46,21,4.860,1789891388052784.943	,1789891388052789.803	
0,ascend_dequant,AI_CORE,46,22,2.900,1789891388052796.743	,1789891388052799.643	
0,ascend_quant,AI_CORE,46,23,4.720,1789891388052846.184	,1789891388052850.904	
0,ascend_dequant,AI_CORE,46,24,3.500,1789891388052858.064	,1789891388052861.565	
0,N/A,EVENT_RECORD,46,25,0.020,1789891388052900.265	,1789891388052900.285	
0,N/A,PROFILING_DISABLE,49,4,0.000,1789891388054216.752	,1789891388054216.752	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1789891388054267.353	,1789891388054267.373	
