Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1789891405254855.751	,1789891405254855.771	
0,ascend_amax,AI_CORE,46,0,11.320,1789891405264444.662	,1789891405264455.983	
0,ascend_max_finish,AI_CORE,46,1,5.500,1789891405264464.283	,1789891405264469.783	
0,ascend_quant,AI_CORE,46,2,161.783,1789891405264469.803	,1789891405264631.586	
0,ascend_amax,AI_CORE,46,3,3.660,1789891405264631.606	,1789891405264635.266	
0,ascend_max_finish,AI_CORE,46,4,5.140,1789891405264635.286	,1789891405264640.426	
0,ascend_quant,AI_CORE,46,5,155.083,1789891405264640.446	,1789891405264795.529	
0,ascend_amax,AI_CORE,46,6,4.040,1789891405264795.569	,1789891405264799.609	
0,ascend_max_finish,AI_CORE,46,7,5.120,1789891405264799.629	,1789891405264804.750	
0,ascend_quant,AI_CORE,46,8,154.903,1789891405264804.790	,1789891405264959.693	
0,N/A,EVENT_RECORD,46,9,0.020,1789891405265081.595	,1789891405265081.615	
0,ascend_amax,AI_CORE,46,10,4.040,1789891405265083.355	,1789891405265087.395	
0,ascend_max_finish,AI_CORE,46,11,5.340,1789891405265087.415	,1789891405265092.755	
0,ascend_quant,AI_CORE,46,12,154.183,1789891405265101.375	,1789891405265255.559	
0,ascend_amax,AI_CORE,46,13,3.700,1789891405265255.579	,1789891405265259.279	
0,ascend_max_finish,AI_CORE,46,14,5.320,1789891405265259.299	,1789891405265264.619	
0,ascend_quant,AI_CORE,46,15,154.643,1789891405265264.659	,1789891405265419.302	
0,N/A,EVENT_RECORD,46,16,0.020,1789891405265419.322	,1789891405265419.342	
0,ascend_dequant,AI_CORE,46,17,71.341,1789891405265521.684	,1789891405265593.025	
0,ascend_dequant,AI_CORE,46,18,64.301,1789891405265593.045	,1789891405265657.347	
0,ascend_dequant,AI_CORE,46,19,64.241,1789891405265657.367	,1789891405265721.608	
0,N/A,EVENT_RECORD,46,20,0.020,1789891405265752.268	,1789891405265752.288	
0,ascend_dequant,AI_CORE,46,21,64.281,1789891405265753.449	,1789891405265817.730	
0,ascend_dequant,AI_CORE,46,22,64.201,1789891405265817.750	,1789891405265881.951	
0,N/A,EVENT_RECORD,46,23,0.020,1789891405265881.971	,1789891405265881.991	
0,ascend_amax,AI_CORE,46,24,3.840,1789891405266121.436	,1789891405266125.276	
0,ascend_max_finish,AI_CORE,46,25,5.540,1789891405266125.296	,1789891405266130.836	
0,ascend_quant,AI_CORE,46,26,154.323,1789891405266137.256	,1789891405266291.579	
0,ascend_dequant,AI_CORE,46,27,66.001,1789891405266291.619	,1789891405266357.621	
0,ascend_amax,AI_CORE,46,28,4.080,1789891405266575.685	,1789891405266579.765	
0,ascend_max_finish,AI_CORE,46,29,5.500,1789891405266579.805	,1789891405266585.305	
0,ascend_quant,AI_CORE,46,30,154.183,1789891405266585.325	,1789891405266739.508	
0,ascend_dequant,AI_CORE,46,31,64.321,1789891405266739.528	,1789891405266803.849	
0,ascend_amax,AI_CORE,46,32,3.980,1789891405266983.213	,1789891405266987.193	
0,ascend_max_finish,AI_CORE,46,33,5.480,1789891405266987.213	,1789891405266992.693	
0,ascend_quant,AI_CORE,46,34,154.463,1789891405266992.713	,1789891405267147.176	
0,ascend_dequant,AI_CORE,46,35,65.481,1789891405267147.196	,1789891405267212.678	
0,N/A,EVENT_RECORD,46,36,0.020,1789891405267350.700	,1789891405267350.720	
0,ascend_amax,AI_CORE,46,37,3.880,1789891405267436.322	,1789891405267440.202	
0,ascend_max_finish,AI_CORE,46,38,5.480,1789891405267440.222	,1789891405267445.702	
0,ascend_quant,AI_CORE,46,39,154.143,1789891405267445.722	,1789891405267599.865	
0,ascend_dequant,AI_CORE,46,40,64.361,1789891405267599.905	,1789891405267664.267	
0,ascend_amax,AI_CORE,46,41,4.020,1789891405267867.751	,1789891405267871.771	
0,ascend_max_finish,AI_CORE,46,42,5.320,1789891405267871.791	,1789891405267877.111	
0,ascend_quant,AI_CORE,46,43,154.223,1789891405267877.131	,1789891405268031.354	
0,ascend_dequant,AI_CORE,46,44,65.321,1789891405268031.374	,1789891405268096.695	
0,N/A,EVENT_RECORD,46,45,0.020,1789891405268243.518	,1789891405268243.538	
0,N/A,PROFILING_DISABLE,49,4,0.000,1789891405273928.752	,1789891405273928.752	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1789891405273979.153	,1789891405273979.153	
