Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,46,ascend_amax,ascend_amax,static,AI_CORE,1789891400188186.150	,10.780,0,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53,650634,0.029,0.004,2.916,0.387,0.018,0.002,0.001,0.0,0.233,0.000
0,4294967295,1,46,ascend_max_finish,ascend_max_finish,static,AI_CORE,1789891400188206.910	,5.040,9.970000,1,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.574,8234,0.008,0.002,4.528,0.99,0.001,0.0,0.001,0.0,0.0,0.000
0,4294967295,2,46,ascend_quant,ascend_quant,static,AI_CORE,1789891400188211.990	,6.720,0.000000,21,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.094,116955,0.016,0.005,2.184,0.706,0.08,0.026,0.086,0.028,0.043,0.000
0,4294967295,3,46,ascend_amax,ascend_amax,static,AI_CORE,1789891400188218.750	,2.960,0.030000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,111430,0.028,0.022,1.232,0.955,0.009,0.007,0.001,0.001,0.005,0.000
0,4294967295,4,46,ascend_max_finish,ascend_max_finish,static,AI_CORE,1789891400188224.110	,4.780,2.290000,1,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.243,7638,0.008,0.002,4.189,0.987,0.001,0.0,0.001,0.0,0.0,0.000
0,4294967295,5,46,ascend_quant,ascend_quant,static,AI_CORE,1789891400188228.910	,6.921,0.220000,21,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.982,112721,0.016,0.005,2.353,0.789,0.092,0.031,0.096,0.032,0.04,0.000
0,4294967295,6,46,ascend_amax,ascend_amax,static,AI_CORE,1789891400188235.851	,3.100,0.000000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.352,116853,0.027,0.02,1.296,0.958,0.008,0.006,0.001,0.001,0.005,0.000
0,4294967295,7,46,ascend_max_finish,ascend_max_finish,static,AI_CORE,1789891400188238.971	,5.780,0.150000,1,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.201,9362,0.008,0.001,5.139,0.988,0.001,0.0,0.001,0.0,0.0,0.000
0,4294967295,8,46,ascend_quant,ascend_quant,static,AI_CORE,1789891400188244.771	,6.060,0.000000,21,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.365,89400,0.016,0.007,2.071,0.876,0.054,0.023,0.09,0.038,0.013,0.000
0,4294967295,10,46,ascend_amax,ascend_amax,static,AI_CORE,1789891400188369.853	,2.960,118.940000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.298,112135,0.028,0.021,1.239,0.955,0.01,0.008,0.001,0.001,0.005,0.000
