Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789891400179199.530	,1789891400179199.530	
0,ascend_amax,AI_CORE,46,0,10.780,1789891400188186.150	,1789891400188196.930	
0,ascend_max_finish,AI_CORE,46,1,5.040,1789891400188206.910	,1789891400188211.950	
0,ascend_quant,AI_CORE,46,2,6.720,1789891400188211.990	,1789891400188218.710	
0,ascend_amax,AI_CORE,46,3,2.960,1789891400188218.750	,1789891400188221.710	
0,ascend_max_finish,AI_CORE,46,4,4.780,1789891400188224.110	,1789891400188228.890	
0,ascend_quant,AI_CORE,46,5,6.920,1789891400188228.910	,1789891400188235.831	
0,ascend_amax,AI_CORE,46,6,3.100,1789891400188235.851	,1789891400188238.951	
0,ascend_max_finish,AI_CORE,46,7,5.780,1789891400188238.971	,1789891400188244.751	
0,ascend_quant,AI_CORE,46,8,6.060,1789891400188244.771	,1789891400188250.831	
0,N/A,EVENT_RECORD,46,9,0.020,1789891400188367.933	,1789891400188367.953	
0,ascend_amax,AI_CORE,46,10,2.960,1789891400188369.853	,1789891400188372.813	
0,ascend_max_finish,AI_CORE,46,11,5.320,1789891400188372.833	,1789891400188378.153	
0,ascend_quant,AI_CORE,46,12,5.920,1789891400188388.414	,1789891400188394.334	
0,ascend_amax,AI_CORE,46,13,2.860,1789891400188394.374	,1789891400188397.234	
0,ascend_max_finish,AI_CORE,46,14,5.380,1789891400188397.254	,1789891400188402.634	
0,ascend_quant,AI_CORE,46,15,6.280,1789891400188402.654	,1789891400188408.934	
0,N/A,EVENT_RECORD,46,16,0.020,1789891400188410.154	,1789891400188410.174	
0,ascend_dequant,AI_CORE,46,17,4.060,1789891400188540.257	,1789891400188544.317	
0,ascend_dequant,AI_CORE,46,18,3.940,1789891400188544.337	,1789891400188548.277	
0,ascend_dequant,AI_CORE,46,19,3.980,1789891400188548.297	,1789891400188552.277	
0,N/A,EVENT_RECORD,46,20,0.020,1789891400188592.438	,1789891400188592.458	
0,ascend_dequant,AI_CORE,46,21,3.880,1789891400188594.258	,1789891400188598.138	
0,ascend_dequant,AI_CORE,46,22,3.900,1789891400188598.178	,1789891400188602.078	
0,N/A,EVENT_RECORD,46,23,0.020,1789891400188602.098	,1789891400188602.118	
0,ascend_amax,AI_CORE,46,24,2.940,1789891400188691.340	,1789891400188694.280	
0,ascend_max_finish,AI_CORE,46,25,5.080,1789891400188694.300	,1789891400188699.380	
0,ascend_quant,AI_CORE,46,26,6.020,1789891400188699.400	,1789891400188705.420	
0,ascend_dequant,AI_CORE,46,27,3.500,1789891400188707.480	,1789891400188710.980	
0,ascend_amax,AI_CORE,46,28,3.260,1789891400188768.901	,1789891400188772.161	
0,ascend_max_finish,AI_CORE,46,29,5.300,1789891400188772.181	,1789891400188777.481	
0,ascend_quant,AI_CORE,46,30,6.280,1789891400188777.501	,1789891400188783.781	
0,ascend_dequant,AI_CORE,46,31,3.820,1789891400188783.801	,1789891400188787.622	
0,ascend_amax,AI_CORE,46,32,3.020,1789891400188847.183	,1789891400188850.203	
0,ascend_max_finish,AI_CORE,46,33,4.980,1789891400188850.223	,1789891400188855.203	
0,ascend_quant,AI_CORE,46,34,6.300,1789891400188855.243	,1789891400188861.543	
0,ascend_dequant,AI_CORE,46,35,3.220,1789891400188861.583	,1789891400188864.803	
0,N/A,EVENT_RECORD,46,36,0.020,1789891400188914.524	,1789891400188914.544	
0,ascend_amax,AI_CORE,46,37,2.920,1789891400188975.805	,1789891400188978.725	
0,ascend_max_finish,AI_CORE,46,38,5.380,1789891400188978.765	,1789891400188984.145	
0,ascend_quant,AI_CORE,46,39,5.580,1789891400188984.165	,1789891400188989.746	
0,ascend_dequant,AI_CORE,46,40,3.160,1789891400188989.766	,1789891400188992.926	
0,ascend_amax,AI_CORE,46,41,3.160,1789891400189047.547	,1789891400189050.707	
0,ascend_max_finish,AI_CORE,46,42,4.900,1789891400189050.727	,1789891400189055.627	
0,ascend_quant,AI_CORE,46,43,5.700,1789891400189055.647	,1789891400189061.347	
0,ascend_dequant,AI_CORE,46,44,3.260,1789891400189061.367	,1789891400189064.627	
0,N/A,EVENT_RECORD,46,45,0.020,1789891400189112.228	,1789891400189112.248	
0,N/A,PROFILING_DISABLE,49,4,0.020,1789891400190401.154	,1789891400190401.174	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1789891400190454.155	,1789891400190454.175	
