rows,dtype,format,vector,threads,trial,kernel_ms
32,0,0,1,256,0,0.00364672
32,0,0,4,128,0,0.00570496
32,0,0,8,128,0,0.00502656
32,0,0,4,256,0,0.00455424
32,0,0,8,256,0,0.00432
32,0,0,4,512,0,0.0038656
32,0,0,8,512,0,0.00457856
32,0,0,1,256,1,0.00350976
32,0,0,4,512,1,0.00386176
32,0,0,8,512,1,0.00457472
32,0,0,4,256,1,0.00453248
32,0,0,8,256,1,0.00430592
32,0,0,4,128,1,0.00568064
32,0,0,8,128,1,0.00498048
32,0,0,1,256,2,0.00354816
32,0,0,4,128,2,0.00558592
32,0,0,8,128,2,0.00498048
32,0,0,4,256,2,0.00459136
32,0,0,8,256,2,0.00431232
32,0,0,4,512,2,0.00387072
32,0,0,8,512,2,0.00456832
32,0,1,1,256,0,0.00373248
32,0,1,4,128,0,0.00564224
32,0,1,8,128,0,0.00499072
32,0,1,4,256,0,0.00460544
32,0,1,8,256,0,0.00432896
32,0,1,4,512,0,0.00397184
32,0,1,8,512,0,0.0045824
32,0,1,1,256,1,0.0036416
32,0,1,4,512,1,0.00396032
32,0,1,8,512,1,0.0045952
32,0,1,4,256,1,0.00461952
32,0,1,8,256,1,0.00431616
32,0,1,4,128,1,0.00567936
32,0,1,8,128,1,0.00498944
32,0,1,1,256,2,0.00354304
32,0,1,4,128,2,0.00567168
32,0,1,8,128,2,0.00499968
32,0,1,4,256,2,0.00464384
32,0,1,8,256,2,0.00430848
32,0,1,4,512,2,0.0039744
32,0,1,8,512,2,0.00458752
32,1,0,1,256,0,0.00357248
32,1,0,4,128,0,0.00574592
32,1,0,8,128,0,0.00508928
32,1,0,4,256,0,0.00466432
32,1,0,8,256,0,0.00428544
32,1,0,4,512,0,0.0039872
32,1,0,8,512,0,0.00440832
32,1,0,1,256,1,0.00352768
32,1,0,4,512,1,0.00398592
32,1,0,8,512,1,0.00441984
32,1,0,4,256,1,0.00463872
32,1,0,8,256,1,0.0042688
32,1,0,4,128,1,0.00575104
32,1,0,8,128,1,0.00509568
32,1,0,1,256,2,0.00359552
32,1,0,4,128,2,0.00577152
32,1,0,8,128,2,0.00509696
32,1,0,4,256,2,0.00465408
32,1,0,8,256,2,0.00426496
32,1,0,4,512,2,0.00399488
32,1,0,8,512,2,0.00441472
32,1,1,1,256,0,0.00355072
32,1,1,4,128,0,0.00585216
32,1,1,8,128,0,0.00510464
32,1,1,4,256,0,0.0046784
32,1,1,8,256,0,0.00427264
32,1,1,4,512,0,0.00406784
32,1,1,8,512,0,0.00454912
32,1,1,1,256,1,0.00354304
32,1,1,4,512,1,0.00407424
32,1,1,8,512,1,0.00455424
32,1,1,4,256,1,0.00469888
32,1,1,8,256,1,0.0042624
32,1,1,4,128,1,0.00584832
32,1,1,8,128,1,0.00509952
32,1,1,1,256,2,0.0035904
32,1,1,4,128,2,0.00582912
32,1,1,8,128,2,0.00511744
32,1,1,4,256,2,0.0047104
32,1,1,8,256,2,0.00425216
32,1,1,4,512,2,0.00409984
32,1,1,8,512,2,0.00454784
32,2,0,1,256,0,0.0035328
32,2,0,4,128,0,0.00576384
32,2,0,8,128,0,0.00475392
32,2,0,4,256,0,0.00459776
32,2,0,8,256,0,0.00399488
32,2,0,4,512,0,0.00391296
32,2,0,8,512,0,0.00433664
32,2,0,1,256,1,0.0035264
32,2,0,4,512,1,0.00391424
32,2,0,8,512,1,0.00433664
32,2,0,4,256,1,0.0045888
32,2,0,8,256,1,0.0039936
32,2,0,4,128,1,0.00577408
32,2,0,8,128,1,0.00474752
32,2,0,1,256,2,0.00357376
32,2,0,4,128,2,0.00569344
32,2,0,8,128,2,0.00478848
32,2,0,4,256,2,0.00462336
32,2,0,8,256,2,0.0039808
32,2,0,4,512,2,0.00393344
32,2,0,8,512,2,0.00431488
32,2,1,1,256,0,0.00356224
32,2,1,4,128,0,0.0057088
32,2,1,8,128,0,0.00478976
32,2,1,4,256,0,0.00457472
32,2,1,8,256,0,0.00399104
32,2,1,4,512,0,0.00401792
32,2,1,8,512,0,0.00436992
32,2,1,1,256,1,0.0035904
32,2,1,4,512,1,0.00401664
32,2,1,8,512,1,0.00435456
32,2,1,4,256,1,0.00457344
32,2,1,8,256,1,0.00400256
32,2,1,4,128,1,0.00562816
32,2,1,8,128,1,0.00481536
32,2,1,1,256,2,0.0035712
32,2,1,4,128,2,0.00565504
32,2,1,8,128,2,0.00481408
32,2,1,4,256,2,0.004576
32,2,1,8,256,2,0.004
32,2,1,4,512,2,0.00400256
32,2,1,8,512,2,0.00435328
1024,0,0,1,256,0,0.0165978
1024,0,0,4,128,0,0.00906368
1024,0,0,8,128,0,0.0107878
1024,0,0,4,256,0,0.009088
1024,0,0,8,256,0,0.0107789
1024,0,0,4,512,0,0.0090304
1024,0,0,8,512,0,0.0103155
1024,0,0,1,256,1,0.0165965
1024,0,0,4,512,1,0.00911232
1024,0,0,8,512,1,0.0102886
1024,0,0,4,256,1,0.0090048
1024,0,0,8,256,1,0.0107814
1024,0,0,4,128,1,0.00896896
1024,0,0,8,128,1,0.0108531
1024,0,0,1,256,2,0.0166003
1024,0,0,4,128,2,0.00903296
1024,0,0,8,128,2,0.0108646
1024,0,0,4,256,2,0.00897024
1024,0,0,8,256,2,0.0108621
1024,0,0,4,512,2,0.00909056
1024,0,0,8,512,2,0.0101773
1024,0,1,1,256,0,0.0101414
1024,0,1,4,128,0,0.00921088
1024,0,1,8,128,0,0.0108198
1024,0,1,4,256,0,0.00924032
1024,0,1,8,256,0,0.0108224
1024,0,1,4,512,0,0.00928384
1024,0,1,8,512,0,0.0104038
1024,0,1,1,256,1,0.0100429
1024,0,1,4,512,1,0.00926976
1024,0,1,8,512,1,0.0103821
1024,0,1,4,256,1,0.00924928
1024,0,1,8,256,1,0.0108493
1024,0,1,4,128,1,0.00928512
1024,0,1,8,128,1,0.0108595
1024,0,1,1,256,2,0.0101082
1024,0,1,4,128,2,0.009216
1024,0,1,8,128,2,0.0108493
1024,0,1,4,256,2,0.00930688
1024,0,1,8,256,2,0.0108096
1024,0,1,4,512,2,0.0091968
1024,0,1,8,512,2,0.010377
1024,1,0,1,256,0,0.0177946
1024,1,0,4,128,0,0.00910848
1024,1,0,8,128,0,0.0094528
1024,1,0,4,256,0,0.009216
1024,1,0,8,256,0,0.0094016
1024,1,0,4,512,0,0.00924416
1024,1,0,8,512,0,0.00896768
1024,1,0,1,256,1,0.017929
1024,1,0,4,512,1,0.00916096
1024,1,0,8,512,1,0.00891008
1024,1,0,4,256,1,0.00914432
1024,1,0,8,256,1,0.00942336
1024,1,0,4,128,1,0.00907904
1024,1,0,8,128,1,0.00946176
1024,1,0,1,256,2,0.0175206
1024,1,0,4,128,2,0.00918656
1024,1,0,8,128,2,0.00941696
1024,1,0,4,256,2,0.00907776
1024,1,0,8,256,2,0.0094528
1024,1,0,4,512,2,0.0091392
1024,1,0,8,512,2,0.00897408
1024,1,1,1,256,0,0.0100992
1024,1,1,4,128,0,0.00936576
1024,1,1,8,128,0,0.0096064
1024,1,1,4,256,0,0.00942592
1024,1,1,8,256,0,0.00950144
1024,1,1,4,512,0,0.00938368
1024,1,1,8,512,0,0.0089856
1024,1,1,1,256,1,0.0101069
1024,1,1,4,512,1,0.00940288
1024,1,1,8,512,1,0.00895488
1024,1,1,4,256,1,0.00943488
1024,1,1,8,256,1,0.00945152
1024,1,1,4,128,1,0.00942336
1024,1,1,8,128,1,0.009632
1024,1,1,1,256,2,0.0101082
1024,1,1,4,128,2,0.00947712
1024,1,1,8,128,2,0.00958976
1024,1,1,4,256,2,0.0093632
1024,1,1,8,256,2,0.0095936
1024,1,1,4,512,2,0.00937856
1024,1,1,8,512,2,0.00907264
1024,2,0,1,256,0,0.0165274
1024,2,0,4,128,0,0.00928
1024,2,0,8,128,0,0.00982016
1024,2,0,4,256,0,0.00929024
1024,2,0,8,256,0,0.00974976
1024,2,0,4,512,0,0.0094336
1024,2,0,8,512,0,0.009216
1024,2,0,1,256,1,0.0162867
1024,2,0,4,512,1,0.0093376
1024,2,0,8,512,1,0.00923136
1024,2,0,4,256,1,0.00935552
1024,2,0,8,256,1,0.00975616
1024,2,0,4,128,1,0.00939392
1024,2,0,8,128,1,0.00973696
1024,2,0,1,256,2,0.0168013
1024,2,0,4,128,2,0.00936832
1024,2,0,8,128,2,0.00974592
1024,2,0,4,256,2,0.009376
1024,2,0,8,256,2,0.00969344
1024,2,0,4,512,2,0.00934656
1024,2,0,8,512,2,0.00921728
1024,2,1,1,256,0,0.0102054
1024,2,1,4,128,0,0.00957184
1024,2,1,8,128,0,0.009824
1024,2,1,4,256,0,0.00947712
1024,2,1,8,256,0,0.00987776
1024,2,1,4,512,0,0.00958464
1024,2,1,8,512,0,0.00933504
1024,2,1,1,256,1,0.0101786
1024,2,1,4,512,1,0.0095488
1024,2,1,8,512,1,0.0093376
1024,2,1,4,256,1,0.00947968
1024,2,1,8,256,1,0.00978304
1024,2,1,4,128,1,0.00957568
