count,dtype,vector,threads,blocks,trial,amax_with_clear_ms
1048576,0,1,256,256,0,0.0425387
1048576,0,4,128,128,0,0.0299127
1048576,0,8,128,128,0,0.0263083
1048576,0,4,128,256,0,0.0256461
1048576,0,8,128,256,0,0.0240503
1048576,0,4,128,512,0,0.0235878
1048576,0,8,128,512,0,0.0233865
1048576,0,4,128,1024,0,0.02311
1048576,0,8,128,1024,0,0.0235401
1048576,0,4,256,128,0,0.0253918
1048576,0,8,256,128,0,0.0239104
1048576,0,4,256,256,0,0.0232721
1048576,0,8,256,256,0,0.0230042
1048576,0,4,256,512,0,0.0231373
1048576,0,8,256,512,0,0.0234138
1048576,0,4,256,1024,0,0.024006
1048576,0,8,256,1024,0,0.0236629
1048576,0,4,512,128,0,0.0234394
1048576,0,8,512,128,0,0.0230963
1048576,0,4,512,256,0,0.022499
1048576,0,8,512,256,0,0.0229837
1048576,0,4,512,512,0,0.023325
1048576,0,8,512,512,0,0.0229717
1048576,0,4,512,1024,0,0.0256393
1048576,0,8,512,1024,0,0.0256956
1048576,0,1,256,256,1,0.0269568
1048576,0,4,128,1024,1,0.0230844
1048576,0,8,128,1024,1,0.0235725
1048576,0,4,128,512,1,0.0235691
1048576,0,8,128,512,1,0.0233847
1048576,0,4,128,256,1,0.02567
1048576,0,8,128,256,1,0.0241545
1048576,0,4,128,128,1,0.0299366
1048576,0,8,128,128,1,0.0263031
1048576,0,4,256,1024,1,0.0240265
1048576,0,8,256,1024,1,0.0236681
1048576,0,4,256,512,1,0.023069
1048576,0,8,256,512,1,0.0234018
1048576,0,4,256,256,1,0.0233865
1048576,0,8,256,256,1,0.022982
1048576,0,4,256,128,1,0.0253662
1048576,0,8,256,128,1,0.0239684
1048576,0,4,512,1024,1,0.0255932
1048576,0,8,512,1024,1,0.0256478
1048576,0,4,512,512,1,0.023354
1048576,0,8,512,512,1,0.0230366
1048576,0,4,512,256,1,0.0225314
1048576,0,8,512,256,1,0.0229205
1048576,0,4,512,128,1,0.0234342
