rows,dtype,format,vector,threads,trial,kernel_ms
32,0,0,1,256,0,0.003712
32,0,0,2,128,0,0.00797184
32,0,0,4,128,0,0.0072384
32,0,0,8,128,0,0.0071232
32,0,0,2,256,0,0.0067968
32,0,0,4,256,0,0.00623872
32,0,0,8,256,0,0.00623872
32,0,0,2,512,0,0.00570112
32,0,0,4,512,0,0.00540928
32,0,0,8,512,0,0.00649472
32,0,0,1,256,1,0.00370304
32,0,0,2,512,1,0.0057024
32,0,0,4,512,1,0.00540928
32,0,0,8,512,1,0.00649984
32,0,0,2,256,1,0.00679424
32,0,0,4,256,1,0.00607616
32,0,0,8,256,1,0.00623488
32,0,0,2,128,1,0.00796928
32,0,0,4,128,1,0.007232
32,0,0,8,128,1,0.00710016
32,0,0,1,256,2,0.00369664
32,0,0,2,128,2,0.00799104
32,0,0,4,128,2,0.00722048
32,0,0,8,128,2,0.0071168
32,0,0,2,256,2,0.00683008
32,0,0,4,256,2,0.00610176
32,0,0,8,256,2,0.00623872
32,0,0,2,512,2,0.00568576
32,0,0,4,512,2,0.00541184
32,0,0,8,512,2,0.00649088
32,0,1,1,256,0,0.00437632
32,0,1,2,128,0,0.00818176
32,0,1,4,128,0,0.00741888
32,0,1,8,128,0,0.00735488
32,0,1,2,256,0,0.00697088
32,0,1,4,256,0,0.00630784
32,0,1,8,256,0,0.0065152
32,0,1,2,512,0,0.0062272
32,0,1,4,512,0,0.00604928
32,0,1,8,512,0,0.00721664
32,0,1,1,256,1,0.00436352
32,0,1,2,512,1,0.00625024
32,0,1,4,512,1,0.006048
32,0,1,8,512,1,0.00720384
32,0,1,2,256,1,0.00698496
32,0,1,4,256,1,0.0063168
32,0,1,8,256,1,0.00650752
32,0,1,2,128,1,0.0082112
32,0,1,4,128,1,0.0074624
32,0,1,8,128,1,0.00733952
32,0,1,1,256,2,0.00436352
32,0,1,2,128,2,0.0081792
32,0,1,4,128,2,0.00744576
32,0,1,8,128,2,0.00732672
32,0,1,2,256,2,0.00698368
32,0,1,4,256,2,0.00632192
32,0,1,8,256,2,0.00650496
32,0,1,2,512,2,0.00626304
32,0,1,4,512,2,0.00603392
32,0,1,8,512,2,0.00721024
32,1,0,1,256,0,0.0038336
32,1,0,2,128,0,0.00790016
32,1,0,4,128,0,0.00722688
32,1,0,8,128,0,0.00725376
32,1,0,2,256,0,0.00668544
32,1,0,4,256,0,0.0060736
32,1,0,8,256,0,0.00639232
32,1,0,2,512,0,0.00573312
32,1,0,4,512,0,0.00537344
32,1,0,8,512,0,0.0064832
32,1,0,1,256,1,0.00384
32,1,0,2,512,1,0.00570112
32,1,0,4,512,1,0.00538624
32,1,0,8,512,1,0.00647808
32,1,0,2,256,1,0.00673408
32,1,0,4,256,1,0.0060608
32,1,0,8,256,1,0.0063872
32,1,0,2,128,1,0.00802688
32,1,0,4,128,1,0.00724736
32,1,0,8,128,1,0.00724736
32,1,0,1,256,2,0.00383104
32,1,0,2,128,2,0.00785024
32,1,0,4,128,2,0.00720896
32,1,0,8,128,2,0.00725632
32,1,0,2,256,2,0.00669312
32,1,0,4,256,2,0.00607744
32,1,0,8,256,2,0.00638592
32,1,0,2,512,2,0.00571648
32,1,0,4,512,2,0.00537344
32,1,0,8,512,2,0.00648192
32,1,1,1,256,0,0.004448
32,1,1,2,128,0,0.00808576
32,1,1,4,128,0,0.00743552
32,1,1,8,128,0,0.00730112
32,1,1,2,256,0,0.0069056
32,1,1,4,256,0,0.0062592
32,1,1,8,256,0,0.00641152
32,1,1,2,512,0,0.00613376
32,1,1,4,512,0,0.00598784
32,1,1,8,512,0,0.00717568
32,1,1,1,256,1,0.00445056
32,1,1,2,512,1,0.00617344
32,1,1,4,512,1,0.00596864
32,1,1,8,512,1,0.0071872
32,1,1,2,256,1,0.00690944
32,1,1,4,256,1,0.00626048
32,1,1,8,256,1,0.00641536
32,1,1,2,128,1,0.00807936
32,1,1,4,128,1,0.00746368
32,1,1,8,128,1,0.0072768
32,1,1,1,256,2,0.00445056
32,1,1,2,128,2,0.00814592
32,1,1,4,128,2,0.007392
32,1,1,8,128,2,0.0072896
32,1,1,2,256,2,0.00687488
32,1,1,4,256,2,0.0062592
32,1,1,8,256,2,0.00641792
32,1,1,2,512,2,0.00612992
32,1,1,4,512,2,0.00597888
32,1,1,8,512,2,0.0071744
1024,0,0,1,256,0,0.0182451
1024,0,0,2,128,0,0.0146099
1024,0,0,4,128,0,0.0123251
1024,0,0,8,128,0,0.0124365
1024,0,0,2,256,0,0.0145229
1024,0,0,4,256,0,0.0121907
1024,0,0,8,256,0,0.0123699
1024,0,0,2,512,0,0.014775
1024,0,0,4,512,0,0.012457
1024,0,0,8,512,0,0.0123034
1024,0,0,1,256,1,0.0183731
1024,0,0,2,512,1,0.0147635
1024,0,0,4,512,1,0.0124224
1024,0,0,8,512,1,0.0122701
1024,0,0,2,256,1,0.0145101
1024,0,0,4,256,1,0.012233
1024,0,0,8,256,1,0.0124134
1024,0,0,2,128,1,0.014551
1024,0,0,4,128,1,0.012375
1024,0,0,8,128,1,0.0124416
1024,0,0,1,256,2,0.0182272
1024,0,0,2,128,2,0.0145536
1024,0,0,4,128,2,0.0123942
1024,0,0,8,128,2,0.0124442
1024,0,0,2,256,2,0.0145062
1024,0,0,4,256,2,0.0121958
1024,0,0,8,256,2,0.0123763
1024,0,0,2,512,2,0.0147789
1024,0,0,4,512,2,0.0124928
1024,0,0,8,512,2,0.0122419
1024,0,1,1,256,0,0.0318541
1024,0,1,2,128,0,0.0208026
1024,0,1,4,128,0,0.0166323
1024,0,1,8,128,0,0.0156365
1024,0,1,2,256,0,0.0208256
1024,0,1,4,256,0,0.0166016
1024,0,1,8,256,0,0.0155149
1024,0,1,2,512,0,0.0213274
1024,0,1,4,512,0,0.0170176
1024,0,1,8,512,0,0.0161485
1024,0,1,1,256,1,0.0318554
1024,0,1,2,512,1,0.0212557
1024,0,1,4,512,1,0.0170176
1024,0,1,8,512,1,0.0161344
1024,0,1,2,256,1,0.020855
1024,0,1,4,256,1,0.0165939
1024,0,1,8,256,1,0.0155341
1024,0,1,2,128,1,0.0208026
1024,0,1,4,128,1,0.0166323
1024,0,1,8,128,1,0.0156595
1024,0,1,1,256,2,0.031849
1024,0,1,2,128,2,0.0207962
1024,0,1,4,128,2,0.0166554
1024,0,1,8,128,2,0.0156326
1024,0,1,2,256,2,0.0208666
1024,0,1,4,256,2,0.0165952
1024,0,1,8,256,2,0.0155635
1024,0,1,2,512,2,0.021289
1024,0,1,4,512,2,0.0170381
1024,0,1,8,512,2,0.0161664
1024,1,0,1,256,0,0.0188019
1024,1,0,2,128,0,0.0143206
1024,1,0,4,128,0,0.0123712
1024,1,0,8,128,0,0.0118938
1024,1,0,2,256,0,0.0143834
1024,1,0,4,256,0,0.012183
1024,1,0,8,256,0,0.0118323
1024,1,0,2,512,0,0.01456
1024,1,0,4,512,0,0.0124493
1024,1,0,8,512,0,0.0116096
1024,1,0,1,256,1,0.0187738
1024,1,0,2,512,1,0.0145651
1024,1,0,4,512,1,0.0123814
1024,1,0,8,512,1,0.011593
1024,1,0,2,256,1,0.0143232
1024,1,0,4,256,1,0.0122227
1024,1,0,8,256,1,0.0118694
1024,1,0,2,128,1,0.0142938
1024,1,0,4,128,1,0.0123827
1024,1,0,8,128,1,0.0119398
1024,1,0,1,256,2,0.0186253
1024,1,0,2,128,2,0.0143424
1024,1,0,4,128,2,0.01232
1024,1,0,8,128,2,0.0118976
1024,1,0,2,256,2,0.0143181
1024,1,0,4,256,2,0.0122317
1024,1,0,8,256,2,0.0118989
1024,1,0,2,512,2,0.0145267
1024,1,0,4,512,2,0.0123712
1024,1,0,8,512,2,0.01152
1024,1,1,1,256,0,0.0320653
1024,1,1,2,128,0,0.020937
1024,1,1,4,128,0,0.016544
1024,1,1,8,128,0,0.0150605
1024,1,1,2,256,0,0.0209126
1024,1,1,4,256,0,0.0164915
1024,1,1,8,256,0,0.0151142
1024,1,1,2,512,0,0.0213837
1024,1,1,4,512,0,0.016919
1024,1,1,8,512,0,0.0155955
1024,1,1,1,256,1,0.0320461
1024,1,1,2,512,1,0.0214259
1024,1,1,4,512,1,0.0169408
1024,1,1,8,512,1,0.0156275
1024,1,1,2,256,1,0.0209075
1024,1,1,4,256,1,0.0165389
1024,1,1,8,256,1,0.0150579
1024,1,1,2,128,1,0.0208563
1024,1,1,4,128,1,0.0165389
1024,1,1,8,128,1,0.0150285
1024,1,1,1,256,2,0.0320525
1024,1,1,2,128,2,0.0208358
1024,1,1,4,128,2,0.0165453
1024,1,1,8,128,2,0.0150746
1024,1,1,2,256,2,0.0208845
1024,1,1,4,256,2,0.0165466
1024,1,1,8,256,2,0.0150528
1024,1,1,2,512,2,0.0214208
1024,1,1,4,512,2,0.0169229
1024,1,1,8,512,2,0.0156109
32768,0,0,1,256,0,0.484685
32768,0,0,2,128,0,0.278931
32768,0,0,4,128,0,0.181747
32768,0,0,8,128,0,0.138893
32768,0,0,2,256,0,0.279098
32768,0,0,4,256,0,0.184128
32768,0,0,8,256,0,0.138643
32768,0,0,2,512,0,0.285382
32768,0,0,4,512,0,0.189747
32768,0,0,8,512,0,0.144518
32768,0,0,1,256,1,0.48423
32768,0,0,2,512,1,0.285357
32768,0,0,4,512,1,0.189958
32768,0,0,8,512,1,0.144512
32768,0,0,2,256,1,0.279002
32768,0,0,4,256,1,0.184358
32768,0,0,8,256,1,0.139194
32768,0,0,2,128,1,0.278957
