rows,dtype,format,vector,threads,trial,kernel_ms
32,0,0,1,256,0,0.00667113
32,0,0,4,128,0,0.00489558
32,0,0,8,128,0,0.00556519
32,0,0,4,256,0,0.00491273
32,0,0,8,256,0,0.00556596
32,0,0,4,512,0,0.00488763
32,0,0,8,512,0,0.00468685
32,0,0,1,256,1,0.00662635
32,0,0,4,512,1,0.00489056
32,0,0,8,512,1,0.00468633
32,0,0,4,256,1,0.004905
32,0,0,8,256,1,0.00556631
32,0,0,4,128,1,0.0048856
32,0,0,8,128,1,0.00555288
32,0,0,1,256,2,0.00662283
32,0,0,4,128,2,0.00487692
32,0,0,8,128,2,0.00556329
32,0,0,4,256,2,0.00489942
32,0,0,8,256,2,0.00557314
32,0,0,4,512,2,0.00488519
32,0,0,8,512,2,0.00469233
32,0,1,1,256,0,0.00691725
32,0,1,4,128,0,0.00488187
32,0,1,8,128,0,0.00552042
32,0,1,4,256,0,0.00489033
32,0,1,8,256,0,0.00552696
32,0,1,4,512,0,0.00490812
32,0,1,8,512,0,0.00467765
32,0,1,1,256,1,0.00695487
32,0,1,4,512,1,0.00492331
32,0,1,8,512,1,0.004671
32,0,1,4,256,1,0.0049004
32,0,1,8,256,1,0.005526
32,0,1,4,128,1,0.00488721
32,0,1,8,128,1,0.00550971
32,0,1,1,256,2,0.00690246
32,0,1,4,128,2,0.00488037
32,0,1,8,128,2,0.00550479
32,0,1,4,256,2,0.00489235
32,0,1,8,256,2,0.00552429
32,0,1,4,512,2,0.00490704
32,0,1,8,512,2,0.00467142
32,1,0,1,256,0,0.00665025
32,1,0,4,128,0,0.00474729
32,1,0,8,128,0,0.00506112
32,1,0,4,256,0,0.00476529
32,1,0,8,256,0,0.00505863
32,1,0,4,512,0,0.00473829
32,1,0,8,512,0,0.00414171
32,1,0,1,256,1,0.00659569
32,1,0,4,512,1,0.00474838
32,1,0,8,512,1,0.0041415
32,1,0,4,256,1,0.0047775
32,1,0,8,256,1,0.00506048
32,1,0,4,128,1,0.00475575
32,1,0,8,128,1,0.00505952
32,1,0,1,256,2,0.00659206
32,1,0,4,128,2,0.00475481
32,1,0,8,128,2,0.00505917
32,1,0,4,256,2,0.0047686
32,1,0,8,256,2,0.00505512
32,1,0,4,512,2,0.00474225
32,1,0,8,512,2,0.00414052
32,1,1,1,256,0,0.00679317
32,1,1,4,128,0,0.00475477
32,1,1,8,128,0,0.00501288
32,1,1,4,256,0,0.00476562
32,1,1,8,256,0,0.00500796
32,1,1,4,512,0,0.00476894
32,1,1,8,512,0,0.0041055
32,1,1,1,256,1,0.00682113
32,1,1,4,512,1,0.00476838
32,1,1,8,512,1,0.00411288
32,1,1,4,256,1,0.00475627
32,1,1,8,256,1,0.00502127
32,1,1,4,128,1,0.00474087
32,1,1,8,128,1,0.00502725
32,1,1,1,256,2,0.00680754
32,1,1,4,128,2,0.00475479
32,1,1,8,128,2,0.00501694
32,1,1,4,256,2,0.0047639
32,1,1,8,256,2,0.00501556
32,1,1,4,512,2,0.00476283
32,1,1,8,512,2,0.00410904
32,2,0,1,256,0,0.00661094
32,2,0,4,128,0,0.00476925
32,2,0,8,128,0,0.00510621
32,2,0,4,256,0,0.00478971
32,2,0,8,256,0,0.00510483
32,2,0,4,512,0,0.00476281
32,2,0,8,512,0,0.00418219
32,2,0,1,256,1,0.00665883
32,2,0,4,512,1,0.004764
32,2,0,8,512,1,0.00418113
32,2,0,4,256,1,0.00480162
32,2,0,8,256,1,0.00510398
32,2,0,4,128,1,0.00477813
32,2,0,8,128,1,0.00510558
32,2,0,1,256,2,0.0066509
32,2,0,4,128,2,0.00476763
32,2,0,8,128,2,0.00511231
32,2,0,4,256,2,0.00478898
32,2,0,8,256,2,0.0051061
32,2,0,4,512,2,0.00476037
32,2,0,8,512,2,0.00418413
32,2,1,1,256,0,0.00693902
32,2,1,4,128,0,0.004764
32,2,1,8,128,0,0.00506217
32,2,1,4,256,0,0.0047775
32,2,1,8,256,0,0.00505521
32,2,1,4,512,0,0.00477623
32,2,1,8,512,0,0.00414825
32,2,1,1,256,1,0.00685844
32,2,1,4,512,1,0.00479142
32,2,1,8,512,1,0.00415233
32,2,1,4,256,1,0.00477792
32,2,1,8,256,1,0.00506154
32,2,1,4,128,1,0.0047654
32,2,1,8,128,1,0.00506325
32,2,1,1,256,2,0.00692163
32,2,1,4,128,2,0.0047744
32,2,1,8,128,2,0.00506131
32,2,1,4,256,2,0.00478596
32,2,1,8,256,2,0.00505523
32,2,1,4,512,2,0.00478402
32,2,1,8,512,2,0.00414773
1024,0,0,1,256,0,0.0186519
1024,0,0,4,128,0,0.0101894
1024,0,0,8,128,0,0.0151592
1024,0,0,4,256,0,0.0102325
1024,0,0,8,256,0,0.0153348
1024,0,0,4,512,0,0.0101373
1024,0,0,8,512,0,0.0153296
1024,0,0,1,256,1,0.0187209
1024,0,0,4,512,1,0.0101433
1024,0,0,8,512,1,0.015319
1024,0,0,4,256,1,0.0102061
1024,0,0,8,256,1,0.015327
1024,0,0,4,128,1,0.0102148
1024,0,0,8,128,1,0.0151862
1024,0,0,1,256,2,0.0185456
1024,0,0,4,128,2,0.0101932
1024,0,0,8,128,2,0.0151264
1024,0,0,4,256,2,0.0102098
1024,0,0,8,256,2,0.0153581
1024,0,0,4,512,2,0.0101512
