count,dtype,vector,threads,blocks,trial,amax_with_clear_ms
1048576,0,1,256,256,0,0.0117979
1048576,0,4,128,128,0,0.0164853
1048576,0,8,128,128,0,0.0220508
1048576,0,4,128,256,0,0.0159092
1048576,0,8,128,256,0,0.0205807
1048576,0,4,128,512,0,0.018139
1048576,0,8,128,512,0,0.0247292
1048576,0,4,128,1024,0,0.0263217
1048576,0,8,128,1024,0,0.0312211
1048576,0,4,256,128,0,0.0152118
1048576,0,8,256,128,0,0.0197266
1048576,0,4,256,256,0,0.0142984
1048576,0,8,256,256,0,0.0209016
1048576,0,4,256,512,0,0.018148
1048576,0,8,256,512,0,0.0229648
1048576,0,4,256,1024,0,0.0230197
1048576,0,8,256,1024,0,0.0312138
1048576,0,4,512,128,0,0.0136649
1048576,0,8,512,128,0,0.0202374
1048576,0,4,512,256,0,0.014405
1048576,0,8,512,256,0,0.019345
1048576,0,4,512,512,0,0.0171418
1048576,0,8,512,512,0,0.0233203
1048576,0,4,512,1024,0,0.0246716
1048576,0,8,512,1024,0,0.0314848
1048576,0,1,256,256,1,0.011776
1048576,0,4,128,1024,1,0.026405
1048576,0,8,128,1024,1,0.0312563
1048576,0,4,128,512,1,0.0181667
1048576,0,8,128,512,1,0.0247469
1048576,0,4,128,256,1,0.0158957
1048576,0,8,128,256,1,0.0205671
1048576,0,4,128,128,1,0.0164744
1048576,0,8,128,128,1,0.022083
1048576,0,4,256,1024,1,0.0230076
1048576,0,8,256,1024,1,0.0312147
1048576,0,4,256,512,1,0.0182033
1048576,0,8,256,512,1,0.0229312
1048576,0,4,256,256,1,0.0143346
1048576,0,8,256,256,1,0.0209743
1048576,0,4,256,128,1,0.0152071
1048576,0,8,256,128,1,0.0197897
1048576,0,4,512,1024,1,0.024765
1048576,0,8,512,1024,1,0.0315151
1048576,0,4,512,512,1,0.0171627
1048576,0,8,512,512,1,0.0233617
1048576,0,4,512,256,1,0.0143896
1048576,0,8,512,256,1,0.019303
1048576,0,4,512,128,1,0.0136178
1048576,0,8,512,128,1,0.0202203
1048576,0,1,256,256,2,0.0117849
1048576,0,4,128,128,2,0.0164616
1048576,0,8,128,128,2,0.022105
1048576,0,4,128,256,2,0.0159246
1048576,0,8,128,256,2,0.0205523
1048576,0,4,128,512,2,0.018177
1048576,0,8,128,512,2,0.0247621
1048576,0,4,128,1024,2,0.0263133
1048576,0,8,128,1024,2,0.0312031
1048576,0,4,256,128,2,0.0152267
1048576,0,8,256,128,2,0.0197394
1048576,0,4,256,256,2,0.014313
1048576,0,8,256,256,2,0.0209487
1048576,0,4,256,512,2,0.0182304
1048576,0,8,256,512,2,0.022951
1048576,0,4,256,1024,2,0.0230587
1048576,0,8,256,1024,2,0.0311987
1048576,0,4,512,128,2,0.0136044
1048576,0,8,512,128,2,0.0202864
1048576,0,4,512,256,2,0.014406
1048576,0,8,512,256,2,0.0193714
1048576,0,4,512,512,2,0.0171256
1048576,0,8,512,512,2,0.0233267
1048576,0,4,512,1024,2,0.0246964
1048576,0,8,512,1024,2,0.0315047
1048576,1,1,256,256,0,0.0117946
1048576,1,4,128,128,0,0.0107474
1048576,1,8,128,128,0,0.0110453
1048576,1,4,128,256,0,0.00988844
1048576,1,8,128,256,0,0.0107257
1048576,1,4,128,512,0,0.0126689
1048576,1,8,128,512,0,0.0144322
1048576,1,4,128,1024,0,0.0202673
1048576,1,8,128,1024,0,0.0228093
1048576,1,4,256,128,0,0.008677
1048576,1,8,256,128,0,0.00974644
1048576,1,4,256,256,0,0.00891628
1048576,1,8,256,256,0,0.0107074
1048576,1,4,256,512,0,0.0124215
1048576,1,8,256,512,0,0.0146367
1048576,1,4,256,1024,0,0.0199956
1048576,1,8,256,1024,0,0.0227687
1048576,1,4,512,128,0,0.00795067
1048576,1,8,512,128,0,0.00960185
1048576,1,4,512,256,0,0.00871428
1048576,1,8,512,256,0,0.010823
1048576,1,4,512,512,0,0.0121427
1048576,1,8,512,512,0,0.0148588
1048576,1,4,512,1024,0,0.0203714
1048576,1,8,512,1024,0,0.023077
1048576,1,1,256,256,1,0.0118133
1048576,1,4,128,1024,1,0.0202864
1048576,1,8,128,1024,1,0.022773
1048576,1,4,128,512,1,0.0126749
1048576,1,8,128,512,1,0.0143976
1048576,1,4,128,256,1,0.009848
1048576,1,8,128,256,1,0.0107224
1048576,1,4,128,128,1,0.0107191
1048576,1,8,128,128,1,0.0110854
1048576,1,4,256,1024,1,0.0200303
1048576,1,8,256,1024,1,0.0228137
1048576,1,4,256,512,1,0.0123534
1048576,1,8,256,512,1,0.0146303
1048576,1,4,256,256,1,0.00889856
1048576,1,8,256,256,1,0.0106647
1048576,1,4,256,128,1,0.00870515
1048576,1,8,256,128,1,0.00973569
1048576,1,4,512,1024,1,0.0203514
1048576,1,8,512,1024,1,0.0229757
1048576,1,4,512,512,1,0.0121007
1048576,1,8,512,512,1,0.0148143
1048576,1,4,512,256,1,0.00876715
1048576,1,8,512,256,1,0.0108536
1048576,1,4,512,128,1,0.00791672
1048576,1,8,512,128,1,0.00962744
1048576,1,1,256,256,2,0.0118109
1048576,1,4,128,128,2,0.010752
1048576,1,8,128,128,2,0.0110636
1048576,1,4,128,256,2,0.00980487
1048576,1,8,128,256,2,0.010726
1048576,1,4,128,512,2,0.0127034
1048576,1,8,128,512,2,0.0144402
1048576,1,4,128,1024,2,0.0202464
1048576,1,8,128,1024,2,0.0227962
1048576,1,4,256,128,2,0.00868487
1048576,1,8,256,128,2,0.00975456
1048576,1,4,256,256,2,0.00895587
1048576,1,8,256,256,2,0.010612
1048576,1,4,256,512,2,0.0124463
