rows,dtype,format,vector,threads,trial,kernel_ms
32,0,0,1,256,0,0.00915033
32,0,0,2,128,0,0.00757458
32,0,0,4,128,0,0.00829017
32,0,0,8,128,0,0.00984417
32,0,0,2,256,0,0.00754596
32,0,0,4,256,0,0.00828075
32,0,0,8,256,0,0.00972912
32,0,0,2,512,0,0.00755604
32,0,0,4,512,0,0.00823983
32,0,0,8,512,0,0.00853252
32,0,0,1,256,1,0.00941829
32,0,0,2,512,1,0.00761044
32,0,0,4,512,1,0.00864075
32,0,0,8,512,1,0.00848327
32,0,0,2,256,1,0.0076021
32,0,0,4,256,1,0.00827635
32,0,0,8,256,1,0.00962602
32,0,0,2,128,1,0.00760704
32,0,0,4,128,1,0.00827058
32,0,0,8,128,1,0.00957417
32,0,0,1,256,2,0.00902498
32,0,0,2,128,2,0.00760306
32,0,0,4,128,2,0.00831162
32,0,0,8,128,2,0.00967221
32,0,0,2,256,2,0.00762837
32,0,0,4,256,2,0.0082784
32,0,0,8,256,2,0.00965494
32,0,0,2,512,2,0.00759108
32,0,0,4,512,2,0.00829071
32,0,0,8,512,2,0.0084554
32,0,1,1,256,0,0.00974335
32,0,1,2,128,0,0.0079291
32,0,1,4,128,0,0.00825213
32,0,1,8,128,0,0.00962583
32,0,1,2,256,0,0.00770498
32,0,1,4,256,0,0.00831408
32,0,1,8,256,0,0.00941419
32,0,1,2,512,0,0.00767796
32,0,1,4,512,0,0.00821958
32,0,1,8,512,0,0.0082395
32,0,1,1,256,1,0.00966921
32,0,1,2,512,1,0.00770304
32,0,1,4,512,1,0.00830187
32,0,1,8,512,1,0.00825096
32,0,1,2,256,1,0.00771481
32,0,1,4,256,1,0.00830302
32,0,1,8,256,1,0.00939717
32,0,1,2,128,1,0.00766362
32,0,1,4,128,1,0.00826938
32,0,1,8,128,1,0.0094424
32,0,1,1,256,2,0.00968517
32,0,1,2,128,2,0.00771171
32,0,1,4,128,2,0.00825771
32,0,1,8,128,2,0.00944606
32,0,1,2,256,2,0.00763362
32,0,1,4,256,2,0.00822675
32,0,1,8,256,2,0.00966814
32,0,1,2,512,2,0.00789579
32,0,1,4,512,2,0.00854721
32,0,1,8,512,2,0.008289
32,1,0,1,256,0,0.00916683
32,1,0,2,128,0,0.00758873
32,1,0,4,128,0,0.00785677
32,1,0,8,128,0,0.00909696
32,1,0,2,256,0,0.00755979
32,1,0,4,256,0,0.00790681
32,1,0,8,256,0,0.00915375
32,1,0,2,512,0,0.00761065
32,1,0,4,512,0,0.00792267
32,1,0,8,512,0,0.00754327
32,1,0,1,256,1,0.00916788
32,1,0,2,512,1,0.00758583
32,1,0,4,512,1,0.007893
32,1,0,8,512,1,0.00755165
32,1,0,2,256,1,0.00752475
32,1,0,4,256,1,0.00787008
32,1,0,8,256,1,0.00913092
32,1,0,2,128,1,0.00761742
32,1,0,4,128,1,0.00790812
32,1,0,8,128,1,0.00909663
32,1,0,1,256,2,0.00917763
32,1,0,2,128,2,0.00756427
32,1,0,4,128,2,0.00819031
32,1,0,8,128,2,0.00907992
32,1,0,2,256,2,0.00762096
32,1,0,4,256,2,0.00791283
32,1,0,8,256,2,0.00915162
32,1,0,2,512,2,0.00756654
32,1,0,4,512,2,0.00788679
32,1,0,8,512,2,0.00757833
32,1,1,1,256,0,0.00973885
32,1,1,2,128,0,0.00767773
32,1,1,4,128,0,0.00805212
32,1,1,8,128,0,0.0088636
32,1,1,2,256,0,0.00765675
32,1,1,4,256,0,0.00805402
32,1,1,8,256,0,0.00891354
32,1,1,2,512,0,0.00764637
32,1,1,4,512,0,0.00810267
32,1,1,8,512,0,0.00731219
32,1,1,1,256,1,0.00980913
32,1,1,2,512,1,0.00765438
32,1,1,4,512,1,0.00805231
32,1,1,8,512,1,0.00730008
32,1,1,2,256,1,0.00763617
32,1,1,4,256,1,0.00914602
32,1,1,8,256,1,0.00997294
32,1,1,2,128,1,0.00766629
32,1,1,4,128,1,0.00843052
32,1,1,8,128,1,0.00889565
32,1,1,1,256,2,0.00978619
32,1,1,2,128,2,0.007641
32,1,1,4,128,2,0.00804569
32,1,1,8,128,2,0.00941583
32,1,1,2,256,2,0.00764979
32,1,1,4,256,2,0.00807556
32,1,1,8,256,2,0.00891771
32,1,1,2,512,2,0.00771021
32,1,1,4,512,2,0.00804429
32,1,1,8,512,2,0.00729289
1024,0,0,1,256,0,0.0320463
1024,0,0,2,128,0,0.0194738
1024,0,0,4,128,0,0.0197904
1024,0,0,8,128,0,0.0263764
1024,0,0,2,256,0,0.0188478
1024,0,0,4,256,0,0.019953
1024,0,0,8,256,0,0.0267452
1024,0,0,2,512,0,0.0189875
1024,0,0,4,512,0,0.0202959
1024,0,0,8,512,0,0.0268634
1024,0,0,1,256,1,0.0323009
1024,0,0,2,512,1,0.0191814
1024,0,0,4,512,1,0.0204811
1024,0,0,8,512,1,0.027035
1024,0,0,2,256,1,0.0191603
1024,0,0,4,256,1,0.0203146
1024,0,0,8,256,1,0.0270637
1024,0,0,2,128,1,0.0207143
1024,0,0,4,128,1,0.0202982
1024,0,0,8,128,1,0.0265795
1024,0,0,1,256,2,0.0325748
1024,0,0,2,128,2,0.0201052
1024,0,0,4,128,2,0.019888
1024,0,0,8,128,2,0.0266088
1024,0,0,2,256,2,0.0192846
1024,0,0,4,256,2,0.0204003
1024,0,0,8,256,2,0.02725
1024,0,0,2,512,2,0.0191751
1024,0,0,4,512,2,0.020571
1024,0,0,8,512,2,0.0271617
1024,0,1,1,256,0,0.0389225
1024,0,1,2,128,0,0.0233294
1024,0,1,4,128,0,0.0211291
1024,0,1,8,128,0,0.0274443
1024,0,1,2,256,0,0.0234201
1024,0,1,4,256,0,0.0221926
1024,0,1,8,256,0,0.0277411
1024,0,1,2,512,0,0.0235182
1024,0,1,4,512,0,0.0220455
1024,0,1,8,512,0,0.0276402
1024,0,1,1,256,1,0.0393032
1024,0,1,2,512,1,0.0234449
1024,0,1,4,512,1,0.0217709
1024,0,1,8,512,1,0.0273009
1024,0,1,2,256,1,0.0234786
1024,0,1,4,256,1,0.0220752
1024,0,1,8,256,1,0.0275386
1024,0,1,2,128,1,0.023311
1024,0,1,4,128,1,0.0214462
1024,0,1,8,128,1,0.0273
1024,0,1,1,256,2,0.039307
1024,0,1,2,128,2,0.0232888
1024,0,1,4,128,2,0.0218626
1024,0,1,8,128,2,0.0273817
1024,0,1,2,256,2,0.0235332
1024,0,1,4,256,2,0.0221128
1024,0,1,8,256,2,0.0275683
1024,0,1,2,512,2,0.0235079
1024,0,1,4,512,2,0.0219433
1024,0,1,8,512,2,0.0275374
1024,1,0,1,256,0,0.0321292
1024,1,0,2,128,0,0.0195263
1024,1,0,4,128,0,0.0155814
1024,1,0,8,128,0,0.0164637
1024,1,0,2,256,0,0.0191579
1024,1,0,4,256,0,0.0156689
1024,1,0,8,256,0,0.0166762
1024,1,0,2,512,0,0.0190876
1024,1,0,4,512,0,0.0156486
1024,1,0,8,512,0,0.0165929
1024,1,0,1,256,1,0.032106
1024,1,0,2,512,1,0.0191512
1024,1,0,4,512,1,0.0156271
1024,1,0,8,512,1,0.0165821
1024,1,0,2,256,1,0.0191448
1024,1,0,4,256,1,0.0156518
1024,1,0,8,256,1,0.0166541
1024,1,0,2,128,1,0.0195315
1024,1,0,4,128,1,0.0154858
1024,1,0,8,128,1,0.0164953
1024,1,0,1,256,2,0.0321481
1024,1,0,2,128,2,0.0195322
1024,1,0,4,128,2,0.0159279
1024,1,0,8,128,2,0.0164908
1024,1,0,2,256,2,0.0191189
1024,1,0,4,256,2,0.0155614
1024,1,0,8,256,2,0.0166323
1024,1,0,2,512,2,0.0191061
1024,1,0,4,512,2,0.0155809
1024,1,0,8,512,2,0.0166501
1024,1,1,1,256,0,0.039197
1024,1,1,2,128,0,0.0233064
1024,1,1,4,128,0,0.0187623
1024,1,1,8,128,0,0.0185146
1024,1,1,2,256,0,0.023801
1024,1,1,4,256,0,0.0191221
1024,1,1,8,256,0,0.0186472
1024,1,1,2,512,0,0.0235362
1024,1,1,4,512,0,0.0199959
1024,1,1,8,512,0,0.0187933
1024,1,1,1,256,1,0.0395648
1024,1,1,2,512,1,0.0237234
1024,1,1,4,512,1,0.0193403
1024,1,1,8,512,1,0.0186028
1024,1,1,2,256,1,0.0237371
1024,1,1,4,256,1,0.019045
1024,1,1,8,256,1,0.0186874
1024,1,1,2,128,1,0.0236791
1024,1,1,4,128,1,0.0191429
1024,1,1,8,128,1,0.0185614
1024,1,1,1,256,2,0.0396353
1024,1,1,2,128,2,0.0237089
1024,1,1,4,128,2,0.0200071
1024,1,1,8,128,2,0.0186528
1024,1,1,2,256,2,0.023697
1024,1,1,4,256,2,0.0196823
1024,1,1,8,256,2,0.0192127
1024,1,1,2,512,2,0.0236603
1024,1,1,4,512,2,0.0190987
1024,1,1,8,512,2,0.0180758
32768,0,0,1,256,0,0.794384
32768,0,0,2,128,0,0.443754
32768,0,0,4,128,0,0.475312
32768,0,0,8,128,0,0.676132
32768,0,0,2,256,0,0.383377
32768,0,0,4,256,0,0.481735
32768,0,0,8,256,0,0.675985
32768,0,0,2,512,0,0.384632
32768,0,0,4,512,0,0.48573
32768,0,0,8,512,0,0.671659
32768,0,0,1,256,1,0.793992
32768,0,0,2,512,1,0.384954
32768,0,0,4,512,1,0.485586
32768,0,0,8,512,1,0.671787
32768,0,0,2,256,1,0.383669
