rows,dtype,format,vector,threads,trial,kernel_ms
32,0,0,1,256,0,0.00823646
32,0,0,4,128,0,0.0110823
32,0,0,8,128,0,0.0169143
32,0,0,4,256,0,0.0109851
32,0,0,8,256,0,0.0171005
32,0,0,4,512,0,0.0114335
32,0,0,8,512,0,0.0175032
32,0,0,1,256,1,0.00760206
32,0,0,4,512,1,0.011391
32,0,0,8,512,1,0.0175091
32,0,0,4,256,1,0.0109823
32,0,0,8,256,1,0.0170118
32,0,0,4,128,1,0.0109376
32,0,0,8,128,1,0.0169114
32,0,0,1,256,2,0.00760137
32,0,0,4,128,2,0.0110773
32,0,0,8,128,2,0.0168227
32,0,0,4,256,2,0.0111377
32,0,0,8,256,2,0.0170819
32,0,0,4,512,2,0.0113954
32,0,0,8,512,2,0.017503
32,0,1,1,256,0,0.0289151
32,0,1,4,128,0,0.0298453
32,0,1,8,128,0,0.0375
32,0,1,4,256,0,0.029725
32,0,1,8,256,0,0.0376779
32,0,1,4,512,0,0.0298115
32,0,1,8,512,0,0.0382646
32,0,1,1,256,1,0.0292325
32,0,1,4,512,1,0.0299773
32,0,1,8,512,1,0.0385159
32,0,1,4,256,1,0.0292989
32,0,1,8,256,1,0.0378558
32,0,1,4,128,1,0.0291757
32,0,1,8,128,1,0.0377229
32,0,1,1,256,2,0.0288774
32,0,1,4,128,2,0.0291648
32,0,1,8,128,2,0.0376023
32,0,1,4,256,2,0.0294533
32,0,1,8,256,2,0.0377125
32,0,1,4,512,2,0.0297267
32,0,1,8,512,2,0.0384899
32,1,0,1,256,0,0.00749166
32,1,0,4,128,0,0.0111359
32,1,0,8,128,0,0.0170666
32,1,0,4,256,0,0.0110358
32,1,0,8,256,0,0.0172323
32,1,0,4,512,0,0.0111957
32,1,0,8,512,0,0.0175074
32,1,0,1,256,1,0.00768994
32,1,0,4,512,1,0.011187
32,1,0,8,512,1,0.0175029
32,1,0,4,256,1,0.0111792
32,1,0,8,256,1,0.0171634
32,1,0,4,128,1,0.0109761
32,1,0,8,128,1,0.0170647
32,1,0,1,256,2,0.00768331
32,1,0,4,128,2,0.0111303
32,1,0,8,128,2,0.017065
32,1,0,4,256,2,0.0110211
32,1,0,8,256,2,0.0171632
32,1,0,4,512,2,0.0111954
32,1,0,8,512,2,0.0175046
32,1,1,1,256,0,0.028856
32,1,1,4,128,0,0.0293243
32,1,1,8,128,0,0.0377917
32,1,1,4,256,0,0.0294297
32,1,1,8,256,0,0.0375967
32,1,1,4,512,0,0.0294569
32,1,1,8,512,0,0.0383566
32,1,1,1,256,1,0.0289791
32,1,1,4,512,1,0.0293488
32,1,1,8,512,1,0.0385638
32,1,1,4,256,1,0.0296823
32,1,1,8,256,1,0.0376105
32,1,1,4,128,1,0.0295295
32,1,1,8,128,1,0.0377624
32,1,1,1,256,2,0.0287952
32,1,1,4,128,2,0.0293219
32,1,1,8,128,2,0.0377666
32,1,1,4,256,2,0.0295296
32,1,1,8,256,2,0.0375946
32,1,1,4,512,2,0.0295611
32,1,1,8,512,2,0.0384147
32,2,0,1,256,0,0.007796
32,2,0,4,128,0,0.0112458
32,2,0,8,128,0,0.0176949
32,2,0,4,256,0,0.0112058
32,2,0,8,256,0,0.0177448
32,2,0,4,512,0,0.0114819
32,2,0,8,512,0,0.0181615
32,2,0,1,256,1,0.00776491
32,2,0,4,512,1,0.0114187
32,2,0,8,512,1,0.0181733
32,2,0,4,256,1,0.0112711
32,2,0,8,256,1,0.017747
32,2,0,4,128,1,0.0112327
32,2,0,8,128,1,0.0176874
32,2,0,1,256,2,0.00777634
32,2,0,4,128,2,0.0112346
32,2,0,8,128,2,0.0176255
32,2,0,4,256,2,0.0112799
32,2,0,8,256,2,0.0177398
32,2,0,4,512,2,0.0114944
32,2,0,8,512,2,0.0181705
32,2,1,1,256,0,0.0288002
32,2,1,4,128,0,0.0294129
32,2,1,8,128,0,0.0383645
32,2,1,4,256,0,0.0294638
32,2,1,8,256,0,0.0384222
32,2,1,4,512,0,0.02942
32,2,1,8,512,0,0.0391671
32,2,1,1,256,1,0.0283445
32,2,1,4,512,1,0.0294912
32,2,1,8,512,1,0.0391057
32,2,1,4,256,1,0.0295034
32,2,1,8,256,1,0.0383225
32,2,1,4,128,1,0.0294728
32,2,1,8,128,1,0.0383858
32,2,1,1,256,2,0.0287831
32,2,1,4,128,2,0.0293512
32,2,1,8,128,2,0.0383051
32,2,1,4,256,2,0.0295135
32,2,1,8,256,2,0.0383365
32,2,1,4,512,2,0.0296994
