count,dtype,vector,threads,blocks,trial,amax_with_clear_ms
1048576,0,1,256,256,0,0.126206
1048576,0,4,128,128,0,0.114979
1048576,0,8,128,128,0,0.110398
1048576,0,4,128,256,0,0.109239
1048576,0,8,128,256,0,0.106439
1048576,0,4,128,512,0,0.109381
1048576,0,8,128,512,0,0.105187
1048576,0,4,128,1024,0,0.115774
1048576,0,8,128,1024,0,0.112168
1048576,0,4,256,128,0,0.101269
1048576,0,8,256,128,0,0.10435
1048576,0,4,256,256,0,0.106234
1048576,0,8,256,256,0,0.101658
1048576,0,4,256,512,0,0.111187
1048576,0,8,256,512,0,0.108549
1048576,0,4,256,1024,0,0.128843
1048576,0,8,256,1024,0,0.124734
1048576,0,4,512,128,0,0.108535
1048576,0,8,512,128,0,0.104715
1048576,0,4,512,256,0,0.113776
1048576,0,8,512,256,0,0.109358
1048576,0,4,512,512,0,0.129723
1048576,0,8,512,512,0,0.125202
1048576,0,4,512,1024,0,0.162526
1048576,0,8,512,1024,0,0.158425
1048576,0,1,256,256,1,0.12607
1048576,0,4,128,1024,1,0.115658
1048576,0,8,128,1024,1,0.112602
1048576,0,4,128,512,1,0.10943
1048576,0,8,128,512,1,0.105486
1048576,0,4,128,256,1,0.108966
1048576,0,8,128,256,1,0.106535
1048576,0,4,128,128,1,0.114937
1048576,0,8,128,128,1,0.110675
1048576,0,4,256,1024,1,0.128524
1048576,0,8,256,1024,1,0.124058
1048576,0,4,256,512,1,0.110984
1048576,0,8,256,512,1,0.107896
1048576,0,4,256,256,1,0.10638
1048576,0,8,256,256,1,0.102153
1048576,0,4,256,128,1,0.101181
1048576,0,8,256,128,1,0.10469
1048576,0,4,512,1024,1,0.162285
1048576,0,8,512,1024,1,0.158345
1048576,0,4,512,512,1,0.129822
1048576,0,8,512,512,1,0.125406
1048576,0,4,512,256,1,0.112874
1048576,0,8,512,256,1,0.10955
1048576,0,4,512,128,1,0.108039
1048576,0,8,512,128,1,0.104748
1048576,0,1,256,256,2,0.126905
1048576,0,4,128,128,2,0.115912
1048576,0,8,128,128,2,0.111708
1048576,0,4,128,256,2,0.110494
1048576,0,8,128,256,2,0.107792
1048576,0,4,128,512,2,0.110247
1048576,0,8,128,512,2,0.106468
1048576,0,4,128,1024,2,0.117824
1048576,0,8,128,1024,2,0.113546
1048576,0,4,256,128,2,0.102023
1048576,0,8,256,128,2,0.105778
1048576,0,4,256,256,2,0.107422
1048576,0,8,256,256,2,0.10296
1048576,0,4,256,512,2,0.112179
1048576,0,8,256,512,2,0.108598
1048576,0,4,256,1024,2,0.129244
1048576,0,8,256,1024,2,0.125326
1048576,0,4,512,128,2,0.108284
1048576,0,8,512,128,2,0.103696
1048576,0,4,512,256,2,0.112985
1048576,0,8,512,256,2,0.109611
1048576,0,4,512,512,2,0.129687
1048576,0,8,512,512,2,0.125669
1048576,0,4,512,1024,2,0.162305
1048576,0,8,512,1024,2,0.158342
1048576,1,1,256,256,0,0.128477
1048576,1,4,128,128,0,0.110752
1048576,1,8,128,128,0,0.09115
1048576,1,4,128,256,0,0.104228
1048576,1,8,128,256,0,0.0993708
1048576,1,4,128,512,0,0.106082
1048576,1,8,128,512,0,0.101549
1048576,1,4,128,1024,0,0.114992
1048576,1,8,128,1024,0,0.110932
1048576,1,4,256,128,0,0.0954348
1048576,1,8,256,128,0,0.095901
1048576,1,4,256,256,0,0.102585
1048576,1,8,256,256,0,0.0988728
1048576,1,4,256,512,0,0.11081
1048576,1,8,256,512,0,0.107347
1048576,1,4,256,1024,0,0.128796
1048576,1,8,256,1024,0,0.123589
1048576,1,4,512,128,0,0.103119
1048576,1,8,512,128,0,0.0987057
1048576,1,4,512,256,0,0.111128
1048576,1,8,512,256,0,0.107359
1048576,1,4,512,512,0,0.129532
1048576,1,8,512,512,0,0.122806
1048576,1,4,512,1024,0,0.16106
1048576,1,8,512,1024,0,0.155381
1048576,1,1,256,256,1,0.125096
1048576,1,4,128,1024,1,0.114779
1048576,1,8,128,1024,1,0.111156
1048576,1,4,128,512,1,0.106097
1048576,1,8,128,512,1,0.101852
1048576,1,4,128,256,1,0.104208
1048576,1,8,128,256,1,0.0993912
1048576,1,4,128,128,1,0.109065
1048576,1,8,128,128,1,0.0919925
1048576,1,4,256,1024,1,0.127688
1048576,1,8,256,1024,1,0.122921
1048576,1,4,256,512,1,0.109747
1048576,1,8,256,512,1,0.10651
1048576,1,4,256,256,1,0.101574
1048576,1,8,256,256,1,0.0977161
1048576,1,4,256,128,1,0.0953464
1048576,1,8,256,128,1,0.0957097
1048576,1,4,512,1024,1,0.161399
1048576,1,8,512,1024,1,0.155305
1048576,1,4,512,512,1,0.128561
1048576,1,8,512,512,1,0.122235
1048576,1,4,512,256,1,0.109912
1048576,1,8,512,256,1,0.10611
1048576,1,4,512,128,1,0.102305
1048576,1,8,512,128,1,0.0977531
1048576,1,1,256,256,2,0.125567
1048576,1,4,128,128,2,0.109077
1048576,1,8,128,128,2,0.0909029
1048576,1,4,128,256,2,0.104254
1048576,1,8,128,256,2,0.0991404
1048576,1,4,128,512,2,0.106089
1048576,1,8,128,512,2,0.101733
1048576,1,4,128,1024,2,0.114472
1048576,1,8,128,1024,2,0.111283
1048576,1,4,256,128,2,0.0953131
1048576,1,8,256,128,2,0.095364
1048576,1,4,256,256,2,0.102033
1048576,1,8,256,256,2,0.0976867
1048576,1,4,256,512,2,0.109731
1048576,1,8,256,512,2,0.106406
1048576,1,4,256,1024,2,0.127721
1048576,1,8,256,1024,2,0.122884
1048576,1,4,512,128,2,0.102203
1048576,1,8,512,128,2,0.0978366
1048576,1,4,512,256,2,0.110245
1048576,1,8,512,256,2,0.106995
1048576,1,4,512,512,2,0.12953
1048576,1,8,512,512,2,0.123378
1048576,1,4,512,1024,2,0.16215
1048576,1,8,512,1024,2,0.15642
33554432,0,1,256,256,0,1.92967
33554432,0,4,128,128,0,1.45663
33554432,0,8,128,128,0,1.29419
33554432,0,4,128,256,0,1.1639
33554432,0,8,128,256,0,1.09012
33554432,0,4,128,512,0,1.03857
33554432,0,8,128,512,0,1.00127
33554432,0,4,128,1024,0,0.987472
