rows,dtype,format,vector,threads,trial,kernel_ms
32,0,0,1,256,0,0.0112414
32,0,0,2,128,0,0.0115514
32,0,0,4,128,0,0.0150501
32,0,0,8,128,0,0.0239898
32,0,0,2,256,0,0.0117071
32,0,0,4,256,0,0.0149598
32,0,0,8,256,0,0.0239294
32,0,0,2,512,0,0.0116184
32,0,0,4,512,0,0.0150078
32,0,0,8,512,0,0.0240573
32,0,0,1,256,1,0.0102363
32,0,0,2,512,1,0.0117126
32,0,0,4,512,1,0.0150174
32,0,0,8,512,1,0.0240486
32,0,0,2,256,1,0.0116101
32,0,0,4,256,1,0.0152095
32,0,0,8,256,1,0.0239207
32,0,0,2,128,1,0.0117168
32,0,0,4,128,1,0.0149785
32,0,0,8,128,1,0.0239815
32,0,0,1,256,2,0.0102349
32,0,0,2,128,2,0.0125032
32,0,0,4,128,2,0.0149775
32,0,0,8,128,2,0.0239879
32,0,0,2,256,2,0.0124238
32,0,0,4,256,2,0.014976
32,0,0,8,256,2,0.0239248
32,0,0,2,512,2,0.0116102
32,0,0,4,512,2,0.0150224
32,0,0,8,512,2,0.0240512
32,0,1,1,256,0,0.0322968
32,0,1,2,128,0,0.0341985
32,0,1,4,128,0,0.0409169
32,0,1,8,128,0,0.054331
32,0,1,2,256,0,0.0343963
32,0,1,4,256,0,0.0408949
32,0,1,8,256,0,0.054336
32,0,1,2,512,0,0.0342725
32,0,1,4,512,0,0.0407179
32,0,1,8,512,0,0.0549272
32,0,1,1,256,1,0.0320704
32,0,1,2,512,1,0.0346541
32,0,1,4,512,1,0.0407154
32,0,1,8,512,1,0.0545945
32,0,1,2,256,1,0.0341323
32,0,1,4,256,1,0.0410167
32,0,1,8,256,1,0.0543581
32,0,1,2,128,1,0.0341306
32,0,1,4,128,1,0.0411091
32,0,1,8,128,1,0.0544107
32,0,1,1,256,2,0.0326301
32,0,1,2,128,2,0.0341933
32,0,1,4,128,2,0.0411753
32,0,1,8,128,2,0.0542985
32,0,1,2,256,2,0.034456
32,0,1,4,256,2,0.0412709
32,0,1,8,256,2,0.0543905
32,0,1,2,512,2,0.0345015
32,0,1,4,512,2,0.040719
32,0,1,8,512,2,0.0545579
32,1,0,1,256,0,0.00982366
32,1,0,2,128,0,0.0115627
32,1,0,4,128,0,0.0156255
32,1,0,8,128,0,0.0248714
32,1,0,2,256,0,0.011451
32,1,0,4,256,0,0.0157571
32,1,0,8,256,0,0.0248122
32,1,0,2,512,0,0.0114126
32,1,0,4,512,0,0.0157634
32,1,0,8,512,0,0.0249221
32,1,0,1,256,1,0.00982366
32,1,0,2,512,1,0.0123115
32,1,0,4,512,1,0.015667
32,1,0,8,512,1,0.0249224
32,1,0,2,256,1,0.0113855
32,1,0,4,256,1,0.0156842
32,1,0,8,256,1,0.0248105
32,1,0,2,128,1,0.0115187
32,1,0,4,128,1,0.0156141
32,1,0,8,128,1,0.0248762
32,1,0,1,256,2,0.00996069
32,1,0,2,128,2,0.0115005
32,1,0,4,128,2,0.0156136
32,1,0,8,128,2,0.0248798
32,1,0,2,256,2,0.0113952
32,1,0,4,256,2,0.0156609
32,1,0,8,256,2,0.0248218
32,1,0,2,512,2,0.0122685
32,1,0,4,512,2,0.0157593
32,1,0,8,512,2,0.0249161
32,1,1,1,256,0,0.031868
32,1,1,2,128,0,0.0347722
32,1,1,4,128,0,0.0405295
32,1,1,8,128,0,0.0542169
32,1,1,2,256,0,0.0349618
32,1,1,4,256,0,0.0405558
32,1,1,8,256,0,0.0539463
32,1,1,2,512,0,0.0349681
32,1,1,4,512,0,0.0407457
32,1,1,8,512,0,0.0542477
32,1,1,1,256,1,0.0318393
32,1,1,2,512,1,0.0349504
32,1,1,4,512,1,0.0405063
32,1,1,8,512,1,0.0542546
32,1,1,2,256,1,0.0350485
32,1,1,4,256,1,0.040924
32,1,1,8,256,1,0.0540453
32,1,1,2,128,1,0.0350683
32,1,1,4,128,1,0.0405358
32,1,1,8,128,1,0.0542049
32,1,1,1,256,2,0.0318158
32,1,1,2,128,2,0.0348285
32,1,1,4,128,2,0.0408142
32,1,1,8,128,2,0.0541728
32,1,1,2,256,2,0.0348888
32,1,1,4,256,2,0.0405655
32,1,1,8,256,2,0.0540888
32,1,1,2,512,2,0.0349344
32,1,1,4,512,2,0.0405741
32,1,1,8,512,2,0.0542729
1024,0,0,1,256,0,0.0398687
1024,0,0,2,128,0,0.0305912
1024,0,0,4,128,0,0.0299079
1024,0,0,8,128,0,0.0368735
