rows,dtype,format,vector,threads,trial,kernel_ms
32,0,0,1,256,0,0.0103432
32,0,0,2,128,0,0.0116558
32,0,0,4,128,0,0.014868
32,0,0,8,128,0,0.0239687
32,0,0,2,256,0,0.0115339
32,0,0,4,256,0,0.0148695
32,0,0,8,256,0,0.0239722
32,0,0,2,512,0,0.0115781
32,0,0,4,512,0,0.015031
32,0,0,8,512,0,0.0241143
32,0,0,1,256,1,0.0101235
32,0,0,2,512,1,0.0116519
32,0,0,4,512,1,0.0149417
32,0,0,8,512,1,0.0241118
32,0,0,2,256,1,0.011675
32,0,0,4,256,1,0.014945
32,0,0,8,256,1,0.0239703
32,0,0,2,128,1,0.011624
32,0,0,4,128,1,0.0148661
32,0,0,8,128,1,0.0239678
32,0,0,1,256,2,0.0101283
32,0,0,2,128,2,0.0120363
32,0,0,4,128,2,0.0149455
32,0,0,8,128,2,0.0239685
32,0,0,2,256,2,0.011543
32,0,0,4,256,2,0.0148667
32,0,0,8,256,2,0.0239695
32,0,0,2,512,2,0.0115842
32,0,0,4,512,2,0.0150232
32,0,0,8,512,2,0.0241198
32,0,1,1,256,0,0.0938457
32,0,1,2,128,0,0.110313
32,0,1,4,128,0,0.149332
32,0,1,8,128,0,0.22493
32,0,1,2,256,0,0.110085
32,0,1,4,256,0,0.150823
32,0,1,8,256,0,0.226206
32,0,1,2,512,0,0.114392
32,0,1,4,512,0,0.155605
32,0,1,8,512,0,0.235149
32,0,1,1,256,1,0.0938505
32,0,1,2,512,1,0.114387
32,0,1,4,512,1,0.155595
32,0,1,8,512,1,0.235139
32,0,1,2,256,1,0.110092
32,0,1,4,256,1,0.150822
32,0,1,8,256,1,0.226209
32,0,1,2,128,1,0.11033
32,0,1,4,128,1,0.149332
32,0,1,8,128,1,0.224933
32,0,1,1,256,2,0.0938691
32,0,1,2,128,2,0.110312
32,0,1,4,128,2,0.14933
32,0,1,8,128,2,0.224921
32,0,1,2,256,2,0.110077
32,0,1,4,256,2,0.150813
32,0,1,8,256,2,0.226237
32,0,1,2,512,2,0.114393
32,0,1,4,512,2,0.1556
32,0,1,8,512,2,0.235177
32,1,0,1,256,0,0.00988811
32,1,0,2,128,0,0.0113313
32,1,0,4,128,0,0.0155442
32,1,0,8,128,0,0.0248536
32,1,0,2,256,0,0.0113515
32,1,0,4,256,0,0.0155947
32,1,0,8,256,0,0.0248703
32,1,0,2,512,0,0.0114216
32,1,0,4,512,0,0.015659
32,1,0,8,512,0,0.0249379
32,1,0,1,256,1,0.00989109
32,1,0,2,512,1,0.0116677
32,1,0,4,512,1,0.0156641
32,1,0,8,512,1,0.0249425
32,1,0,2,256,1,0.0113878
32,1,0,4,256,1,0.0155944
32,1,0,8,256,1,0.0248701
32,1,0,2,128,1,0.0114645
32,1,0,4,128,1,0.0155424
32,1,0,8,128,1,0.0248527
32,1,0,1,256,2,0.00988766
32,1,0,2,128,2,0.0114021
32,1,0,4,128,2,0.0155384
32,1,0,8,128,2,0.024855
32,1,0,2,256,2,0.0114126
32,1,0,4,256,2,0.0156665
32,1,0,8,256,2,0.0248705
32,1,0,2,512,2,0.0114141
32,1,0,4,512,2,0.0155768
32,1,0,8,512,2,0.024935
32,1,1,1,256,0,0.0936563
32,1,1,2,128,0,0.109845
32,1,1,4,128,0,0.148301
32,1,1,8,128,0,0.226469
32,1,1,2,256,0,0.109857
32,1,1,4,256,0,0.149281
32,1,1,8,256,0,0.227298
32,1,1,2,512,0,0.114512
32,1,1,4,512,0,0.154895
32,1,1,8,512,0,0.235897
32,1,1,1,256,1,0.093684
32,1,1,2,512,1,0.114496
32,1,1,4,512,1,0.154861
32,1,1,8,512,1,0.235898
32,1,1,2,256,1,0.109884
32,1,1,4,256,1,0.149289
32,1,1,8,256,1,0.227304
32,1,1,2,128,1,0.109899
32,1,1,4,128,1,0.148313
32,1,1,8,128,1,0.226472
32,1,1,1,256,2,0.0936896
32,1,1,2,128,2,0.109869
32,1,1,4,128,2,0.148287
32,1,1,8,128,2,0.226476
32,1,1,2,256,2,0.109892
32,1,1,4,256,2,0.149289
32,1,1,8,256,2,0.227271
32,1,1,2,512,2,0.114515
32,1,1,4,512,2,0.154861
32,1,1,8,512,2,0.235903
1024,0,0,1,256,0,0.0398584
1024,0,0,2,128,0,0.0307133
1024,0,0,4,128,0,0.0298045
1024,0,0,8,128,0,0.0368663
1024,0,0,2,256,0,0.0310016
1024,0,0,4,256,0,0.0298984
1024,0,0,8,256,0,0.0358557
1024,0,0,2,512,0,0.029959
1024,0,0,4,512,0,0.0270489
1024,0,0,8,512,0,0.0302147
1024,0,0,1,256,1,0.039771
1024,0,0,2,512,1,0.0300494
1024,0,0,4,512,1,0.0270843
1024,0,0,8,512,1,0.0302187
1024,0,0,2,256,1,0.0310002
1024,0,0,4,256,1,0.0298835
1024,0,0,8,256,1,0.0362104
1024,0,0,2,128,1,0.0306189
1024,0,0,4,128,1,0.0298335
1024,0,0,8,128,1,0.0368578
1024,0,0,1,256,2,0.0397669
1024,0,0,2,128,2,0.0306302
1024,0,0,4,128,2,0.0298018
1024,0,0,8,128,2,0.0367441
1024,0,0,2,256,2,0.0309954
1024,0,0,4,256,2,0.0298946
1024,0,0,8,256,2,0.0360705
1024,0,0,2,512,2,0.0299978
1024,0,0,4,512,2,0.0270766
1024,0,0,8,512,2,0.0302342
1024,0,1,1,256,0,1.25572
1024,0,1,2,128,0,0.833437
1024,0,1,4,128,0,0.624291
1024,0,1,8,128,0,0.560551
1024,0,1,2,256,0,0.873936
1024,0,1,4,256,0,0.628332
1024,0,1,8,256,0,0.562469
1024,0,1,2,512,0,0.8205
1024,0,1,4,512,0,0.599489
1024,0,1,8,512,0,0.553797
1024,0,1,1,256,1,1.25574
1024,0,1,2,512,1,0.820477
1024,0,1,4,512,1,0.599556
1024,0,1,8,512,1,0.553731
1024,0,1,2,256,1,0.873988
1024,0,1,4,256,1,0.62834
1024,0,1,8,256,1,0.5628
1024,0,1,2,128,1,0.833687
1024,0,1,4,128,1,0.624745
1024,0,1,8,128,1,0.560666
1024,0,1,1,256,2,1.25575
1024,0,1,2,128,2,0.833383
1024,0,1,4,128,2,0.625201
1024,0,1,8,128,2,0.560477
1024,0,1,2,256,2,0.87388
1024,0,1,4,256,2,0.628405
1024,0,1,8,256,2,0.562025
1024,0,1,2,512,2,0.820522
1024,0,1,4,512,2,0.599604
1024,0,1,8,512,2,0.55361
1024,1,0,1,256,0,0.0394943
1024,1,0,2,128,0,0.0300336
1024,1,0,4,128,0,0.0295901
1024,1,0,8,128,0,0.0367362
1024,1,0,2,256,0,0.0303726
