$ nsys stats --force-export=true --report cuda_gpu_kern_sum,cuda_api_sum --format csv /root/zmuxuny-cuda-tuning/03_hadamard_tc/zmuxuny/results/4090d/tuning/software/timeline_nvfp4.nsys-rep
Generating SQLite file /root/zmuxuny-cuda-tuning/03_hadamard_tc/zmuxuny/results/4090d/tuning/software/timeline_nvfp4.sqlite from /root/zmuxuny-cuda-tuning/03_hadamard_tc/zmuxuny/results/4090d/tuning/software/timeline_nvfp4.nsys-rep
Processing [/root/zmuxuny-cuda-tuning/03_hadamard_tc/zmuxuny/results/4090d/tuning/software/timeline_nvfp4.sqlite] with [/usr/local/cuda-12.8/NsightSystems-cli-2024.6.2/target-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
22.5,312578,23,13590.3,13536.0,13248,14432,265.2,"lp::hadamard_tc(const __half *, const __half *, __half *, unsigned long, int, bool, bool, unsigned int)"
16.3,226786,69,3286.8,3264.0,3168,3712,89.5,"void lp::hadamard_kernel<(int)128, (int)0, (int)0>(const void *, void *, unsigned long, int, bool, bool, unsigned int, unsigned char *, unsigned char *, float *, lp::Layout)"
13.0,180514,23,7848.4,7808.0,7680,8256,135.8,"void lp::hadamard_kernel<(int)128, (int)2, (int)1>(const void *, void *, unsigned long, int, bool, bool, unsigned int, unsigned char *, unsigned char *, float *, lp::Layout)"
12.8,178657,46,3883.8,3872.0,3776,4000,49.3,"void lp::quant_vector_kernel<(int)1, (int)1, (int)4>(const void *, unsigned char *, unsigned char *, const float *, lp::Layout)"
9.9,138336,46,3007.3,3008.0,2848,3168,74.4,"void lp::hadamard_mma_kernel<(int)128, (int)1, (int)0, (int)0, (int)4>(const unsigned short *, unsigned short *, unsigned long, bool, bool, unsigned int, unsigned char *, unsigned char *, float *, lp::Layout)"
8.3,115522,23,5022.7,5024.0,4896,5121,59.2,"void lp::hadamard_mma_kernel<(int)128, (int)1, (int)2, (int)1, (int)4>(const unsigned short *, unsigned short *, unsigned long, bool, bool, unsigned int, unsigned char *, unsigned char *, float *, lp::Layout)"
6.7,93184,23,4051.5,4032.0,3968,4224,67.4,"void lp::hadamard_kernel<(int)128, (int)1, (int)0>(const void *, void *, unsigned long, int, bool, bool, unsigned int, unsigned char *, unsigned char *, float *, lp::Layout)"
6.2,85664,46,1862.3,1856.0,1824,1952,28.3,"void lp::maximum_vector<(int)1, (int)8>(const void *, unsigned long, float *)"
4.4,60672,23,2637.9,2624.0,2592,2752,40.7,"void lp::hadamard_mma_kernel<(int)128, (int)1, (int)1, (int)1, (int)4>(const unsigned short *, unsigned short *, unsigned long, bool, bool, unsigned int, unsigned char *, unsigned char *, float *, lp::Layout)"

Processing [/root/zmuxuny-cuda-tuning/03_hadamard_tc/zmuxuny/results/4090d/tuning/software/timeline_nvfp4.sqlite] with [/usr/local/cuda-12.8/NsightSystems-cli-2024.6.2/target-linux-x64/reports/cuda_api_sum.py]...
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
85.1,147100958,11,13372814.4,8641.0,1561,146768074,44242219.4,cudaMalloc
6.3,10884437,322,33802.6,3374.0,2675,9503336,529376.1,cudaLaunchKernel
5.9,10140919,46,220454.8,226961.0,133538,307194,83911.9,cudaMemcpyAsync
1.3,2176921,17,128054.2,24271.0,8627,483772,163511.5,cudaMemcpy
0.7,1127398,1,1127398.0,1127398.0,1127398,1127398,0.0,cudaGetDeviceProperties_v2_v12000
0.3,603197,11,54836.1,8360.0,1829,199177,66174.4,cudaFree
0.2,383781,8,47972.6,14716.0,2497,220995,74227.1,cudaEventSynchronize
0.1,223029,92,2424.2,2392.0,1871,6639,727.3,cudaMemsetAsync
0.1,90267,8,11283.4,6596.0,2798,37848,11444.9,cudaDeviceSynchronize
0.0,72921,16,4557.6,3866.5,2843,13737,2576.7,cudaEventRecord
0.0,21686,16,1355.4,773.5,336,4626,1222.7,cudaEventCreate
0.0,9407,2,4703.5,4703.5,2150,7257,3611.2,cudaMemset
0.0,7375,16,460.9,398.0,257,854,195.8,cudaEventDestroy
0.0,778,1,778.0,778.0,778,778,0.0,cuModuleGetLoadingMode
