rows,dim,dtype,format,warps,trial,had_ms,fused_ms
32,64,1,0,1,0,0.00210261,0.00221184
32,64,1,0,2,0,0.00208213,0.00221184
32,64,1,0,4,0,0.00206165,0.00223232
32,64,1,0,8,0,0.00206165,0.00231424
32,64,1,0,16,0,0.00204779,0.00232107
32,64,1,0,16,1,0.00206848,0.00231424
32,64,1,0,8,1,0.00204117,0.00232107
32,64,1,0,4,1,0.00206848,0.00221867
32,64,1,0,2,1,0.00206165,0.00221184
32,64,1,0,1,1,0.00208896,0.00221867
32,64,1,0,1,2,0.00217771,0.00221184
32,64,1,0,2,2,0.00205483,0.00221184
32,64,1,0,4,2,0.00206165,0.00222549
32,64,1,0,8,2,0.00193835,0.00231424
32,64,1,0,16,2,0.00196629,0.00232107
32,64,1,1,1,0,0.00202752,0.00547499
32,64,1,1,2,0,0.00197973,0.0054272
32,64,1,1,4,0,0.00193877,0.00535211
32,64,1,1,8,0,0.00191829,0.00554325
32,64,1,1,16,0,0.00195925,0.00564565
32,64,1,1,16,1,0.00198656,0.00564565
32,64,1,1,8,1,0.00196608,0.00555008
32,64,1,1,4,1,0.00191765,0.00538624
32,64,1,1,2,1,0.00197291,0.00537259
32,64,1,1,1,1,0.00197291,0.00539989
32,64,1,1,1,2,0.00200704,0.00545472
32,64,1,1,2,2,0.00192512,0.00537941
32,64,1,1,4,2,0.00190464,0.00534528
32,64,1,1,8,2,0.00197291,0.00554368
32,64,1,1,16,2,0.00195925,0.00564544
32,64,2,0,1,0,0.00197291,0.00221867
32,64,2,0,2,0,0.00197973,0.00221099
32,64,2,0,4,0,0.00195925,0.00222549
32,64,2,0,8,0,0.00198656,0.00232789
32,64,2,0,16,0,0.00197227,0.00232789
32,64,2,0,16,1,0.00197973,0.00232107
32,64,2,0,8,1,0.00199339,0.00232789
32,64,2,0,4,1,0.00196608,0.00222592
32,64,2,0,2,1,0.00197973,0.00221867
32,64,2,0,1,1,0.00196608,0.00221867
32,64,2,0,1,2,0.00195243,0.00221867
