Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789889650539486.015	,1789889650539486.015	
0,ascend_had,AI_CORE,46,0,15.380,1789889650549446.694	,1789889650549462.074	
0,ascend_had,AI_CORE,46,1,15.000,1789889650549462.094	,1789889650549477.095	
0,ascend_had,AI_CORE,46,2,12.880,1789889650549477.115	,1789889650549489.995	
0,N/A,EVENT_RECORD,46,3,0.020,1789889650549608.797	,1789889650549608.817	
0,ascend_had,AI_CORE,46,4,10.140,1789889650549610.537	,1789889650549620.678	
0,ascend_had,AI_CORE,46,5,10.200,1789889650549620.698	,1789889650549630.898	
0,N/A,EVENT_RECORD,46,6,0.020,1789889650549630.918	,1789889650549630.938	
0,ascend_had,AI_CORE,46,7,10.280,1789889650549765.900	,1789889650549776.181	
0,ascend_quant,AI_CORE,46,8,13.640,1789889650549782.901	,1789889650549796.541	
0,ascend_had,AI_CORE,46,9,10.060,1789889650549796.561	,1789889650549806.621	
0,ascend_quant,AI_CORE,46,10,9.080,1789889650549806.661	,1789889650549815.741	
0,ascend_had,AI_CORE,46,11,10.360,1789889650549815.761	,1789889650549826.122	
0,ascend_quant,AI_CORE,46,12,9.460,1789889650549826.142	,1789889650549835.602	
0,N/A,EVENT_RECORD,46,13,0.020,1789889650549874.823	,1789889650549874.843	
0,ascend_had,AI_CORE,46,14,10.420,1789889650549876.163	,1789889650549886.583	
0,ascend_quant,AI_CORE,46,15,8.880,1789889650549886.603	,1789889650549895.483	
0,ascend_had,AI_CORE,46,16,10.280,1789889650549895.503	,1789889650549905.783	
0,ascend_quant,AI_CORE,46,17,8.780,1789889650549905.803	,1789889650549914.583	
0,N/A,EVENT_RECORD,46,18,0.020,1789889650549914.603	,1789889650549914.623	
0,ascend_had,AI_CORE,46,19,17.040,1789889650549985.985	,1789889650550003.025	
0,ascend_had,AI_CORE,46,20,16.560,1789889650550003.065	,1789889650550019.626	
0,ascend_had,AI_CORE,46,21,15.100,1789889650550019.646	,1789889650550034.746	
0,N/A,EVENT_RECORD,46,22,0.000,1789889650550065.046	,1789889650550065.046	
0,ascend_had,AI_CORE,46,23,13.540,1789889650550066.346	,1789889650550079.887	
0,ascend_had,AI_CORE,46,24,13.600,1789889650550079.927	,1789889650550093.527	
0,N/A,EVENT_RECORD,46,25,0.020,1789889650550093.547	,1789889650550093.567	
0,ascend_had,AI_CORE,46,26,10.140,1789889650550364.032	,1789889650550374.173	
0,ascend_had,AI_CORE,46,27,10.300,1789889650550423.874	,1789889650550434.174	
0,ascend_had,AI_CORE,46,28,10.380,1789889650550484.275	,1789889650550494.655	
0,N/A,EVENT_RECORD,46,29,0.020,1789889650550556.336	,1789889650550556.356	
0,ascend_had,AI_CORE,46,30,10.160,1789889650550625.558	,1789889650550635.718	
0,ascend_had,AI_CORE,46,31,10.240,1789889650550685.679	,1789889650550695.919	
0,N/A,EVENT_RECORD,46,32,0.020,1789889650550747.120	,1789889650550747.140	
0,ascend_prepare,AI_CORE,46,33,15.700,1789889650550855.442	,1789889650550871.143	
0,ascend_cube,AI_CORE,46,34,6.340,1789889650551205.889	,1789889650551212.229	
0,ascend_had,AI_CORE,46,35,6.400,1789889650551212.269	,1789889650551218.669	
0,ascend_prepare,AI_CORE,46,36,15.120,1789889650551218.689	,1789889650551233.810	
0,ascend_cube,AI_CORE,46,37,4.880,1789889650551233.830	,1789889650551238.710	
0,ascend_had,AI_CORE,46,38,6.480,1789889650551238.730	,1789889650551245.210	
0,ascend_prepare,AI_CORE,46,39,15.800,1789889650551245.230	,1789889650551261.030	
0,ascend_cube,AI_CORE,46,40,5.460,1789889650551261.050	,1789889650551266.510	
0,ascend_had,AI_CORE,46,41,5.940,1789889650551266.550	,1789889650551272.491	
0,N/A,EVENT_RECORD,46,42,0.020,1789889650551318.331	,1789889650551318.351	
0,ascend_prepare,AI_CORE,46,43,15.240,1789889650551319.952	,1789889650551335.192	
0,ascend_cube,AI_CORE,46,44,5.080,1789889650551335.212	,1789889650551340.292	
0,ascend_had,AI_CORE,46,45,6.040,1789889650551340.332	,1789889650551346.372	
0,ascend_prepare,AI_CORE,46,46,15.700,1789889650551346.412	,1789889650551362.112	
0,ascend_cube,AI_CORE,46,47,5.360,1789889650551362.132	,1789889650551367.492	
0,ascend_had,AI_CORE,46,48,6.340,1789889650551367.532	,1789889650551373.873	
0,N/A,EVENT_RECORD,46,49,0.020,1789889650551373.893	,1789889650551373.913	
0,ascend_prepare,AI_CORE,46,50,15.180,1789889650551478.455	,1789889650551493.635	
0,ascend_cube,AI_CORE,46,51,4.180,1789889650551493.675	,1789889650551497.855	
0,ascend_had,AI_CORE,46,52,5.960,1789889650551497.895	,1789889650551503.855	
0,ascend_quant,AI_CORE,46,53,7.900,1789889650551503.875	,1789889650551511.775	
0,ascend_prepare,AI_CORE,46,54,15.380,1789889650551511.795	,1789889650551527.176	
0,ascend_cube,AI_CORE,46,55,3.900,1789889650551527.196	,1789889650551531.096	
0,ascend_had,AI_CORE,46,56,6.140,1789889650551531.116	,1789889650551537.256	
0,ascend_quant,AI_CORE,46,57,8.760,1789889650551537.296	,1789889650551546.056	
0,ascend_prepare,AI_CORE,46,58,15.560,1789889650551546.076	,1789889650551561.636	
0,ascend_cube,AI_CORE,46,59,3.900,1789889650551561.656	,1789889650551565.556	
0,ascend_had,AI_CORE,46,60,6.080,1789889650551565.596	,1789889650551571.677	
0,ascend_quant,AI_CORE,46,61,8.460,1789889650551571.697	,1789889650551580.157	
0,N/A,EVENT_RECORD,46,62,0.020,1789889650551616.977	,1789889650551616.997	
0,ascend_prepare,AI_CORE,46,63,14.920,1789889650551619.217	,1789889650551634.138	
0,ascend_cube,AI_CORE,46,64,3.920,1789889650551634.158	,1789889650551638.078	
0,ascend_had,AI_CORE,46,65,6.360,1789889650551638.098	,1789889650551644.458	
0,ascend_quant,AI_CORE,46,66,8.440,1789889650551644.478	,1789889650551652.918	
0,ascend_prepare,AI_CORE,46,67,14.920,1789889650551652.938	,1789889650551667.858	
0,ascend_cube,AI_CORE,46,68,3.960,1789889650551667.898	,1789889650551671.859	
0,ascend_had,AI_CORE,46,69,6.520,1789889650551671.879	,1789889650551678.399	
0,ascend_quant,AI_CORE,46,70,8.840,1789889650551678.419	,1789889650551687.259	
0,N/A,EVENT_RECORD,46,71,0.020,1789889650551687.279	,1789889650551687.299	
0,ascend_prepare,AI_CORE,46,72,14.960,1789889650551747.880	,1789889650551762.840	
0,ascend_cube,AI_CORE,46,73,4.800,1789889650551762.860	,1789889650551767.660	
0,ascend_had,AI_CORE,46,74,9.360,1789889650551767.700	,1789889650551777.061	
0,ascend_prepare,AI_CORE,46,75,15.200,1789889650551777.081	,1789889650551792.281	
0,ascend_cube,AI_CORE,46,76,4.100,1789889650551792.321	,1789889650551796.421	
0,ascend_had,AI_CORE,46,77,9.480,1789889650551796.461	,1789889650551805.941	
0,ascend_prepare,AI_CORE,46,78,14.860,1789889650551805.961	,1789889650551820.822	
0,ascend_cube,AI_CORE,46,79,3.900,1789889650551820.842	,1789889650551824.742	
0,ascend_had,AI_CORE,46,80,9.220,1789889650551824.762	,1789889650551833.982	
0,N/A,EVENT_RECORD,46,81,0.020,1789889650551865.162	,1789889650551865.182	
0,ascend_prepare,AI_CORE,46,82,15.400,1789889650551866.582	,1789889650551881.983	
0,ascend_cube,AI_CORE,46,83,3.940,1789889650551882.023	,1789889650551885.963	
0,ascend_had,AI_CORE,46,84,9.260,1789889650551885.983	,1789889650551895.243	
0,ascend_prepare,AI_CORE,46,85,14.820,1789889650551895.263	,1789889650551910.083	
0,ascend_cube,AI_CORE,46,86,3.940,1789889650551910.103	,1789889650551914.043	
0,ascend_had,AI_CORE,46,87,9.460,1789889650551914.083	,1789889650551923.544	
0,N/A,EVENT_RECORD,46,88,0.020,1789889650551923.564	,1789889650551923.584	
0,N/A,PROFILING_DISABLE,49,4,0.000,1789889650553365.572	,1789889650553365.572	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1789889650553422.834	,1789889650553422.834	
