Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1789889644454812.477	,1789889644454812.497	
0,ascend_had,AI_CORE,46,0,116.042,1789889644465625.394	,1789889644465741.436	
0,ascend_had,AI_CORE,46,1,112.062,1789889644465741.456	,1789889644465853.518	
0,ascend_had,AI_CORE,46,2,109.842,1789889644465853.538	,1789889644465963.380	
0,N/A,EVENT_RECORD,46,3,0.020,1789889644466083.363	,1789889644466083.383	
0,ascend_had,AI_CORE,46,4,110.562,1789889644466084.983	,1789889644466195.545	
0,ascend_had,AI_CORE,46,5,109.902,1789889644466195.565	,1789889644466305.467	
0,N/A,EVENT_RECORD,46,6,0.020,1789889644466305.487	,1789889644466305.507	
0,ascend_had,AI_CORE,46,7,110.082,1789889644466466.810	,1789889644466576.893	
0,ascend_quant,AI_CORE,46,8,75.701,1789889644466576.913	,1789889644466652.614	
0,ascend_had,AI_CORE,46,9,109.782,1789889644466652.634	,1789889644466762.416	
0,ascend_quant,AI_CORE,46,10,70.201,1789889644466762.436	,1789889644466832.638	
0,ascend_had,AI_CORE,46,11,109.522,1789889644466832.658	,1789889644466942.180	
0,ascend_quant,AI_CORE,46,12,68.641,1789889644466942.200	,1789889644467010.841	
0,N/A,EVENT_RECORD,46,13,0.020,1789889644467050.282	,1789889644467050.302	
0,ascend_had,AI_CORE,46,14,109.622,1789889644467052.562	,1789889644467162.184	
0,ascend_quant,AI_CORE,46,15,69.081,1789889644467162.204	,1789889644467231.286	
0,ascend_had,AI_CORE,46,16,109.642,1789889644467231.306	,1789889644467340.948	
0,ascend_quant,AI_CORE,46,17,69.001,1789889644467340.968	,1789889644467409.969	
0,N/A,EVENT_RECORD,46,18,0.020,1789889644467409.989	,1789889644467410.009	
0,ascend_had,AI_CORE,46,19,168.523,1789889644467476.550	,1789889644467645.074	
0,ascend_had,AI_CORE,46,20,165.563,1789889644467645.094	,1789889644467810.657	
0,ascend_had,AI_CORE,46,21,163.403,1789889644467810.677	,1789889644467974.080	
0,N/A,EVENT_RECORD,46,22,0.020,1789889644468007.401	,1789889644468007.421	
0,ascend_had,AI_CORE,46,23,163.503,1789889644468008.881	,1789889644468172.384	
0,ascend_had,AI_CORE,46,24,163.363,1789889644468172.404	,1789889644468335.768	
0,N/A,EVENT_RECORD,46,25,0.020,1789889644468335.788	,1789889644468335.808	
0,ascend_had,AI_CORE,46,26,110.102,1789889644469508.251	,1789889644469618.353	
0,ascend_had,AI_CORE,46,27,109.682,1789889644469720.895	,1789889644469830.578	
0,ascend_had,AI_CORE,46,28,109.862,1789889644469920.279	,1789889644470030.142	
0,N/A,EVENT_RECORD,46,29,0.020,1789889644470101.363	,1789889644470101.383	
0,ascend_had,AI_CORE,46,30,109.782,1789889644470185.065	,1789889644470294.847	
0,ascend_had,AI_CORE,46,31,109.962,1789889644470379.869	,1789889644470489.831	
0,N/A,EVENT_RECORD,46,32,0.020,1789889644470576.052	,1789889644470576.072	
0,ascend_prepare,AI_CORE,46,33,35.780,1789889644470688.695	,1789889644470724.475	
0,ascend_cube,AI_CORE,46,34,17.840,1789889644471007.701	,1789889644471025.541	
0,ascend_had,AI_CORE,46,35,47.501,1789889644471025.561	,1789889644471073.062	
0,ascend_prepare,AI_CORE,46,36,32.120,1789889644471073.082	,1789889644471105.203	
0,ascend_cube,AI_CORE,46,37,16.520,1789889644471105.223	,1789889644471121.743	
0,ascend_had,AI_CORE,46,38,47.460,1789889644471121.763	,1789889644471169.224	
0,ascend_prepare,AI_CORE,46,39,32.300,1789889644471169.264	,1789889644471201.565	
0,ascend_cube,AI_CORE,46,40,16.280,1789889644471201.585	,1789889644471217.865	
0,ascend_had,AI_CORE,46,41,47.381,1789889644471217.905	,1789889644471265.286	
0,N/A,EVENT_RECORD,46,42,0.020,1789889644471314.227	,1789889644471314.247	
0,ascend_prepare,AI_CORE,46,43,31.940,1789889644471315.987	,1789889644471347.928	
0,ascend_cube,AI_CORE,46,44,16.480,1789889644471347.948	,1789889644471364.428	
0,ascend_had,AI_CORE,46,45,48.001,1789889644471364.468	,1789889644471412.469	
0,ascend_prepare,AI_CORE,46,46,31.540,1789889644471412.489	,1789889644471444.030	
