Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,46,ascend_had,ascend_had,static,AI_CORE,1789889660724795.777	,14.861,0,19,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.035,445804,0.078,0.006,9.666,0.742,0.743,0.057,0.136,0.01,0.013,0.000
0,4294967295,1,46,ascend_had,ascend_had,static,AI_CORE,1789889660724810.658	,14.840,0.139000,19,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.942,442611,0.078,0.006,9.638,0.745,0.695,0.054,0.142,0.011,0.012,0.000
0,4294967295,2,46,ascend_had,ascend_had,static,AI_CORE,1789889660724825.538	,12.640,0.000000,19,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04,343360,0.078,0.008,8.93,0.889,0.338,0.034,0.132,0.013,0.007,0.000
0,4294967295,4,46,ascend_had,ascend_had,static,AI_CORE,1789889660725029.442	,10.380,191.360000,19,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.982,307199,0.078,0.009,8.746,0.974,0.104,0.012,0.13,0.015,0.001,0.000
0,4294967295,5,46,ascend_had,ascend_had,static,AI_CORE,1789889660725039.862	,10.441,0.000000,19,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.98,307119,0.078,0.009,8.733,0.973,0.114,0.013,0.139,0.015,0.002,0.000
0,4294967295,7,46,ascend_had,ascend_had,static,AI_CORE,1789889660725185.085	,10.420,134.809000,19,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.002,307854,0.078,0.009,8.759,0.973,0.101,0.011,0.126,0.014,0.0,0.000
0,4294967295,8,46,ascend_amax,ascend_amax,static,AI_CORE,1789889660725200.706	,12.920,5.330000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.561,826094,0.03,0.003,4.491,0.47,0.004,0.0,0.001,0.0,0.207,0.000
0,4294967295,9,46,ascend_max_finish,ascend_max_finish,static,AI_CORE,1789889660725213.666	,5.600,0.080000,1,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.092,9165,0.008,0.002,5.044,0.991,0.001,0.0,0.001,0.0,0.0,0.000
0,4294967295,10,46,ascend_quant,ascend_quant,static,AI_CORE,1789889660725219.286	,11.500,0.000000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.132,616225,0.016,0.002,3.822,0.536,0.043,0.006,0.166,0.023,0.026,0.000
0,4294967295,11,46,ascend_had,ascend_had,static,AI_CORE,1789889660725230.826	,10.660,0.000000,19,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.067,310106,0.078,0.009,8.806,0.971,0.104,0.011,0.132,0.015,0.0,0.000
0,4294967295,12,46,ascend_amax,ascend_amax,static,AI_CORE,1789889660725241.506	,3.240,0.090000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.414,122182,0.028,0.02,1.363,0.964,0.004,0.003,0.001,0.001,0.011,0.000
0,4294967295,13,46,ascend_max_finish,ascend_max_finish,static,AI_CORE,1789889660725244.766	,5.341,0.010000,1,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.757,8562,0.008,0.002,4.693,0.987,0.001,0.0,0.001,0.0,0.0,0.000
0,4294967295,14,46,ascend_quant,ascend_quant,static,AI_CORE,1789889660725250.127	,11.800,0.159000,48,0,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.899,423249,0.016,0.003,4.406,0.899,0.043,0.009,0.18,0.037,0.01,0.000
