Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1789889660714994.182	,1789889660714994.202	
0,ascend_had,AI_CORE,46,0,14.860,1789889660724795.777	,1789889660724810.638	
0,ascend_had,AI_CORE,46,1,14.840,1789889660724810.658	,1789889660724825.498	
0,ascend_had,AI_CORE,46,2,12.640,1789889660724825.538	,1789889660724838.178	
0,N/A,EVENT_RECORD,46,3,0.020,1789889660725026.442	,1789889660725026.462	
0,ascend_had,AI_CORE,46,4,10.380,1789889660725029.442	,1789889660725039.822	
0,ascend_had,AI_CORE,46,5,10.440,1789889660725039.862	,1789889660725050.303	
0,N/A,EVENT_RECORD,46,6,0.020,1789889660725050.323	,1789889660725050.343	
0,ascend_had,AI_CORE,46,7,10.420,1789889660725185.085	,1789889660725195.505	
0,ascend_amax,AI_CORE,46,8,12.920,1789889660725200.706	,1789889660725213.626	
0,ascend_max_finish,AI_CORE,46,9,5.600,1789889660725213.666	,1789889660725219.266	
0,ascend_quant,AI_CORE,46,10,11.500,1789889660725219.286	,1789889660725230.786	
0,ascend_had,AI_CORE,46,11,10.660,1789889660725230.826	,1789889660725241.486	
0,ascend_amax,AI_CORE,46,12,3.240,1789889660725241.506	,1789889660725244.746	
0,ascend_max_finish,AI_CORE,46,13,5.340,1789889660725244.766	,1789889660725250.107	
0,ascend_quant,AI_CORE,46,14,11.800,1789889660725250.127	,1789889660725261.927	
0,ascend_had,AI_CORE,46,15,10.300,1789889660725261.947	,1789889660725272.247	
0,ascend_amax,AI_CORE,46,16,2.940,1789889660725272.267	,1789889660725275.207	
0,ascend_max_finish,AI_CORE,46,17,5.220,1789889660725275.247	,1789889660725280.467	
0,ascend_quant,AI_CORE,46,18,10.640,1789889660725280.507	,1789889660725291.147	
0,N/A,EVENT_RECORD,46,19,0.020,1789889660725328.168	,1789889660725328.188	
0,ascend_had,AI_CORE,46,20,10.440,1789889660725330.188	,1789889660725340.628	
0,ascend_amax,AI_CORE,46,21,2.980,1789889660725340.648	,1789889660725343.628	
0,ascend_max_finish,AI_CORE,46,22,5.400,1789889660725343.648	,1789889660725349.048	
0,ascend_quant,AI_CORE,46,23,10.640,1789889660725349.068	,1789889660725359.709	
0,ascend_had,AI_CORE,46,24,10.740,1789889660725359.729	,1789889660725370.469	
0,ascend_amax,AI_CORE,46,25,3.240,1789889660725370.489	,1789889660725373.729	
0,ascend_max_finish,AI_CORE,46,26,5.520,1789889660725373.749	,1789889660725379.269	
0,ascend_quant,AI_CORE,46,27,11.020,1789889660725379.289	,1789889660725390.309	
0,N/A,EVENT_RECORD,46,28,0.020,1789889660725390.329	,1789889660725390.349	
0,ascend_had,AI_CORE,46,29,12.780,1789889660725456.271	,1789889660725469.051	
0,ascend_max_finish,AI_CORE,46,30,3.100,1789889660725469.071	,1789889660725472.171	
0,ascend_had,AI_CORE,46,31,17.160,1789889660725472.191	,1789889660725489.351	
0,ascend_had,AI_CORE,46,32,10.920,1789889660725489.371	,1789889660725500.292	
0,ascend_max_finish,AI_CORE,46,33,2.960,1789889660725500.312	,1789889660725503.272	
0,ascend_had,AI_CORE,46,34,15.720,1789889660725503.292	,1789889660725519.012	
