Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789889655622039.640	,1789889655622039.640	
0,ascend_had,AI_CORE,46,0,115.882,1789889655631458.748	,1789889655631574.631	
0,ascend_had,AI_CORE,46,1,112.382,1789889655631574.651	,1789889655631687.033	
0,ascend_had,AI_CORE,46,2,110.142,1789889655631687.053	,1789889655631797.195	
0,N/A,EVENT_RECORD,46,3,0.000,1789889655631915.597	,1789889655631915.597	
0,ascend_had,AI_CORE,46,4,109.782,1789889655631917.377	,1789889655632027.160	
0,ascend_had,AI_CORE,46,5,110.382,1789889655632027.180	,1789889655632137.562	
0,N/A,EVENT_RECORD,46,6,0.000,1789889655632137.602	,1789889655632137.602	
0,ascend_had,AI_CORE,46,7,109.602,1789889655632293.745	,1789889655632403.347	
0,ascend_amax,AI_CORE,46,8,9.260,1789889655632403.387	,1789889655632412.647	
0,ascend_max_finish,AI_CORE,46,9,5.780,1789889655632412.667	,1789889655632418.447	
0,ascend_quant,AI_CORE,46,10,84.381,1789889655632418.467	,1789889655632502.849	
0,ascend_had,AI_CORE,46,11,110.242,1789889655632502.869	,1789889655632613.111	
0,ascend_amax,AI_CORE,46,12,4.220,1789889655632613.131	,1789889655632617.351	
0,ascend_max_finish,AI_CORE,46,13,5.320,1789889655632617.391	,1789889655632622.712	
0,ascend_quant,AI_CORE,46,14,81.061,1789889655632622.732	,1789889655632703.793	
0,ascend_had,AI_CORE,46,15,109.762,1789889655632703.813	,1789889655632813.575	
0,ascend_amax,AI_CORE,46,16,3.660,1789889655632813.595	,1789889655632817.255	
0,ascend_max_finish,AI_CORE,46,17,5.180,1789889655632817.275	,1789889655632822.456	
0,ascend_quant,AI_CORE,46,18,79.541,1789889655632822.476	,1789889655632902.017	
0,N/A,EVENT_RECORD,46,19,0.020,1789889655632948.018	,1789889655632948.038	
0,ascend_had,AI_CORE,46,20,109.722,1789889655632950.118	,1789889655633059.840	
0,ascend_amax,AI_CORE,46,21,3.920,1789889655633059.880	,1789889655633063.800	
0,ascend_max_finish,AI_CORE,46,22,5.420,1789889655633063.840	,1789889655633069.260	
0,ascend_quant,AI_CORE,46,23,79.501,1789889655633069.300	,1789889655633148.802	
0,ascend_had,AI_CORE,46,24,109.982,1789889655633148.822	,1789889655633258.804	
0,ascend_amax,AI_CORE,46,25,3.980,1789889655633258.844	,1789889655633262.824	
0,ascend_max_finish,AI_CORE,46,26,5.620,1789889655633262.844	,1789889655633268.464	
0,ascend_quant,AI_CORE,46,27,80.061,1789889655633268.484	,1789889655633348.546	
0,N/A,EVENT_RECORD,46,28,0.020,1789889655633348.566	,1789889655633348.586	
0,ascend_had,AI_CORE,46,29,112.102,1789889655633425.928	,1789889655633538.030	
0,ascend_max_finish,AI_CORE,46,30,4.420,1789889655633538.070	,1789889655633542.490	
0,ascend_had,AI_CORE,46,31,167.503,1789889655633542.510	,1789889655633710.013	
0,ascend_had,AI_CORE,46,32,109.782,1789889655633710.033	,1789889655633819.815	
0,ascend_max_finish,AI_CORE,46,33,4.380,1789889655633819.835	,1789889655633824.216	
0,ascend_had,AI_CORE,46,34,163.883,1789889655633824.236	,1789889655633988.119	
0,ascend_had,AI_CORE,46,35,109.642,1789889655633988.139	,1789889655634097.781	
0,ascend_max_finish,AI_CORE,46,36,3.880,1789889655634097.821	,1789889655634101.701	
0,ascend_had,AI_CORE,46,37,162.383,1789889655634101.721	,1789889655634264.104	
0,N/A,EVENT_RECORD,46,38,0.020,1789889655634303.905	,1789889655634303.925	
0,ascend_had,AI_CORE,46,39,109.242,1789889655634306.505	,1789889655634415.747	
0,ascend_max_finish,AI_CORE,46,40,4.260,1789889655634415.767	,1789889655634420.027	
0,ascend_had,AI_CORE,46,41,162.743,1789889655634420.047	,1789889655634582.791	
0,ascend_had,AI_CORE,46,42,109.322,1789889655634582.811	,1789889655634692.133	
0,ascend_max_finish,AI_CORE,46,43,3.820,1789889655634692.153	,1789889655634695.973	
