rows,dim,dtype,format,warps,lanes,trial,had_ms,fused_ms
32,64,1,0,2,64,0,0.00473459,0.00884187
32,64,1,0,4,64,0,0.00372203,0.00682915
32,64,1,0,8,64,0,0.00327628,0.00572015
32,64,1,0,16,64,0,0.00303759,0.00531782
32,64,1,0,1,32,0,0.00527628,0.00944956
32,64,1,0,2,32,0,0.00529941,0.00939628
32,64,1,0,4,32,0,0.00431787,0.00731144
32,64,1,0,8,32,0,0.00383069,0.00616315
32,64,1,0,16,32,0,0.00364044,0.00582559
32,64,1,0,2,64,1,0.00474315,0.00874041
32,64,1,0,4,64,1,0.00372115,0.00677097
32,64,1,0,8,64,1,0.00327385,0.00569744
32,64,1,0,16,64,1,0.00303872,0.00531656
32,64,1,0,16,32,1,0.00363885,0.00582544
32,64,1,0,8,32,1,0.00383087,0.00617615
32,64,1,0,4,32,1,0.004317,0.007334
32,64,1,0,2,32,1,0.00529744,0.00959556
32,64,1,0,1,32,1,0.00527387,0.00954213
32,64,1,0,2,64,2,0.00471828,0.00881228
32,64,1,0,4,64,2,0.00372,0.006853
32,64,1,0,8,64,2,0.00327572,0.005718
32,64,1,0,16,64,2,0.00303826,0.00531631
32,64,1,0,1,32,2,0.00528044,0.00943487
32,64,1,0,2,32,2,0.00530431,0.009346
32,64,1,0,4,32,2,0.00431331,0.00734444
32,64,1,0,8,32,2,0.00383285,0.00618018
32,64,1,0,16,32,2,0.00364126,0.00582274
32,64,1,1,2,64,0,0.00472172,0.0156744
32,64,1,1,4,64,0,0.00372185,0.0127387
32,64,1,1,8,64,0,0.00327715,0.0111367
32,64,1,1,16,64,0,0.00304,0.0105183
32,64,1,1,1,32,0,0.00529472,0.0165543
32,64,1,1,2,32,0,0.00531128,0.0166746
32,64,1,1,4,32,0,0.004333,0.0135262
32,64,1,1,8,32,0,0.00383472,0.0118049
32,64,1,1,16,32,0,0.00364128,0.0112692
32,64,1,1,2,64,1,0.00472769,0.0157486
32,64,1,1,4,64,1,0.00371272,0.0127213
32,64,1,1,8,64,1,0.00327656,0.0111356
32,64,1,1,16,64,1,0.00303885,0.0105116
32,64,1,1,16,32,1,0.00364128,0.0112814
32,64,1,1,8,32,1,0.00383115,0.0118307
32,64,1,1,4,32,1,0.00431744,0.0134683
32,64,1,1,2,32,1,0.00531428,0.01655
32,64,1,1,1,32,1,0.00529587,0.0167344
32,64,1,1,2,64,2,0.00473659,0.0158301
32,64,1,1,4,64,2,0.00372144,0.0126744
32,64,1,1,8,64,2,0.003277,0.0111562
32,64,1,1,16,64,2,0.00303685,0.0105133
32,64,1,1,1,32,2,0.00528972,0.016775
32,64,1,1,2,32,2,0.00530741,0.0165827
32,64,1,1,4,32,2,0.00433231,0.0134894
32,64,1,1,8,32,2,0.00383728,0.0118232
32,64,1,1,16,32,2,0.00363813,0.0112741
32,64,2,0,2,64,0,0.004758,0.00880915
32,64,2,0,4,64,0,0.00374356,0.00676856
32,64,2,0,8,64,0,0.003304,0.005722
32,64,2,0,16,64,0,0.00306356,0.00533115
32,64,2,0,1,32,0,0.00535156,0.009529
32,64,2,0,2,32,0,0.00533728,0.009489
32,64,2,0,4,32,0,0.00435826,0.00735272
32,64,2,0,8,32,0,0.00387028,0.00619013
32,64,2,0,16,32,0,0.00367972,0.00583713
32,64,2,0,2,64,1,0.00476113,0.00882787
32,64,2,0,4,64,1,0.00374656,0.006792
32,64,2,0,8,64,1,0.003307,0.00570487
32,64,2,0,16,64,1,0.00307113,0.005331
32,64,2,0,16,32,1,0.00368,0.005833
32,64,2,0,8,32,1,0.00387228,0.00617328
32,64,2,0,4,32,1,0.00434685,0.007354
32,64,2,0,2,32,1,0.00532956,0.00947031
32,64,2,0,1,32,1,0.00534828,0.00939844
32,64,2,0,2,64,2,0.00475669,0.00882056
32,64,2,0,4,64,2,0.00374313,0.00683028
32,64,2,0,8,64,2,0.00330144,0.005736
32,64,2,0,16,64,2,0.00306544,0.00533428
32,64,2,0,1,32,2,0.00535344,0.00954841
32,64,2,0,2,32,2,0.00534015,0.00941544
32,64,2,0,4,32,2,0.00435713,0.00736844
32,64,2,0,8,32,2,0.00387285,0.00618613
32,64,2,0,16,32,2,0.00367785,0.00583613
32,64,2,1,2,64,0,0.004756,0.0156087
32,64,2,1,4,64,0,0.00373756,0.0126763
32,64,2,1,8,64,0,0.00330613,0.0111727
32,64,2,1,16,64,0,0.00306656,0.010528
32,64,2,1,1,32,0,0.00536287,0.0165583
32,64,2,1,2,32,0,0.005342,0.0165374
32,64,2,1,4,32,0,0.004376,0.013492
32,64,2,1,8,32,0,0.00387641,0.0118513
32,64,2,1,16,32,0,0.00367456,0.0112921
32,64,2,1,2,64,1,0.00475159,0.0156342
32,64,2,1,4,64,1,0.00375226,0.012696
32,64,2,1,8,64,1,0.00330787,0.011178
32,64,2,1,16,64,1,0.00306941,0.0105264
32,64,2,1,16,32,1,0.00367972,0.0112916
32,64,2,1,8,32,1,0.00387144,0.0118376
32,64,2,1,4,32,1,0.00435156,0.0134914
32,64,2,1,2,32,1,0.00532831,0.016586
32,64,2,1,1,32,1,0.00534487,0.0165166
32,64,2,1,2,64,2,0.004763,0.0156887
32,64,2,1,4,64,2,0.00374544,0.0126857
32,64,2,1,8,64,2,0.00330156,0.0111587
32,64,2,1,16,64,2,0.00306341,0.0105254
32,64,2,1,1,32,2,0.00535515,0.01668
32,64,2,1,2,32,2,0.005344,0.0164792
32,64,2,1,4,32,2,0.00437556,0.013539
32,64,2,1,8,32,2,0.00387772,0.011855
32,64,2,1,16,32,2,0.003679,0.0112911
32,128,1,0,2,64,0,0.00520069,0.00951444
32,128,1,0,4,64,0,0.00422672,0.007376
32,128,1,0,8,64,0,0.00377615,0.00624331
32,128,1,0,16,64,0,0.00354997,0.00587544
32,128,1,0,1,32,0,0.00632256,0.0110296
32,128,1,0,2,32,0,0.00636087,0.0108378
32,128,1,0,4,32,0,0.00539228,0.00906897
32,128,1,0,8,32,0,0.00491482,0.00821213
32,128,1,0,16,32,0,0.00473559,0.00785856
32,128,1,0,2,64,1,0.00518844,0.00946674
32,128,1,0,4,64,1,0.00422759,0.00732987
32,128,1,0,8,64,1,0.00377931,0.00622541
32,128,1,0,16,64,1,0.00355056,0.00586856
32,128,1,0,16,32,1,0.00473385,0.00785513
32,128,1,0,8,32,1,0.00491385,0.00820641
32,128,1,0,4,32,1,0.00540156,0.00908272
32,128,1,0,2,32,1,0.00637274,0.0108967
32,128,1,0,1,32,1,0.00632759,0.0109803
32,128,1,0,2,64,2,0.00520172,0.00940672
32,128,1,0,4,64,2,0.00423031,0.00738613
32,128,1,0,8,64,2,0.00378044,0.006251
32,128,1,0,16,64,2,0.00355087,0.00586841
