rows,dim,dtype,format,warps,trial,had_ms,fused_ms
32,64,1,0,1,0,0.003989,0.009351
32,64,1,0,2,0,0.00348128,0.00818485
32,64,1,0,4,0,0.00323685,0.00777413
32,64,1,0,8,0,0.00318513,0.00770015
32,64,1,0,16,0,0.00318331,0.00770413
32,64,1,0,16,1,0.00318256,0.00769659
32,64,1,0,8,1,0.00318828,0.00769044
32,64,1,0,4,1,0.003235,0.00777256
32,64,1,0,2,1,0.003479,0.00815644
32,64,1,0,1,1,0.00397731,0.00934613
32,64,1,0,1,2,0.00397315,0.00934785
32,64,1,0,2,2,0.00347831,0.00814515
32,64,1,0,4,2,0.00323585,0.00777103
32,64,1,0,8,2,0.00318231,0.00768903
32,64,1,0,16,2,0.00318241,0.00769187
32,64,1,1,1,0,0.00396059,0.0149752
32,64,1,1,2,0,0.00346831,0.0132183
32,64,1,1,4,0,0.00323485,0.0126273
32,64,1,1,8,0,0.00318741,0.0124648
32,64,1,1,16,0,0.00318613,0.0124718
32,64,1,1,16,1,0.00318513,0.0124624
32,64,1,1,8,1,0.003186,0.0124572
32,64,1,1,4,1,0.003236,0.0126114
32,64,1,1,2,1,0.00346731,0.013226
32,64,1,1,1,1,0.00395944,0.0149656
32,64,1,1,1,2,0.00396256,0.0149482
32,64,1,1,2,2,0.003469,0.0132308
32,64,1,1,4,2,0.00323426,0.012616
32,64,1,1,8,2,0.00317826,0.0124769
32,64,1,1,16,2,0.00318472,0.0124574
32,64,2,0,1,0,0.004092,0.00939913
32,64,2,0,2,0,0.00352956,0.00819285
32,64,2,0,4,0,0.00329972,0.00780831
32,64,2,0,8,0,0.00324885,0.00773244
32,64,2,0,16,0,0.00325072,0.007734
32,64,2,0,16,1,0.00324572,0.007723
32,64,2,0,8,1,0.00325028,0.007728
32,64,2,0,4,1,0.00329969,0.00780715
32,64,2,0,2,1,0.00353056,0.00819785
32,64,2,0,1,1,0.00409269,0.00936428
32,64,2,0,1,2,0.00409074,0.00937315
32,64,2,0,2,2,0.00353156,0.00816987
32,64,2,0,4,2,0.00330056,0.00780556
32,64,2,0,8,2,0.003255,0.007722
32,64,2,0,16,2,0.00325156,0.007723
32,64,2,1,1,0,0.004107,0.0149806
32,64,2,1,2,0,0.00354372,0.0132368
32,64,2,1,4,0,0.00330372,0.0126383
32,64,2,1,8,0,0.00324759,0.0124743
32,64,2,1,16,0,0.00324344,0.0124879
32,64,2,1,16,1,0.00324441,0.0124856
32,64,2,1,8,1,0.00324974,0.0124672
32,64,2,1,4,1,0.00330328,0.012646
32,64,2,1,2,1,0.00354156,0.0132802
32,64,2,1,1,1,0.00410631,0.0150237
32,64,2,1,1,2,0.00410356,0.0149924
32,64,2,1,2,2,0.00354544,0.013265
32,64,2,1,4,2,0.00329885,0.0126147
32,64,2,1,8,2,0.00323944,0.012463
32,64,2,1,16,2,0.00324774,0.0124698
32,128,1,0,1,0,0.00495872,0.0112491
32,128,1,0,2,0,0.00398185,0.00933774
32,128,1,0,4,0,0.003496,0.00819859
32,128,1,0,8,0,0.00330731,0.00787228
32,128,1,0,16,0,0.00322826,0.00777644
32,128,1,0,16,1,0.00322787,0.007771
32,128,1,0,8,1,0.00330556,0.00786944
32,128,1,0,4,1,0.00349641,0.008201
32,128,1,0,2,1,0.00397815,0.00932172
32,128,1,0,1,1,0.00495756,0.0112614
32,128,1,0,1,2,0.00496185,0.0112481
32,128,1,0,2,2,0.00397656,0.009353
32,128,1,0,4,2,0.00349685,0.00819256
32,128,1,0,8,2,0.00330244,0.00787285
32,128,1,0,16,2,0.00322787,0.00777356
32,128,1,1,1,0,0.00496956,0.0178832
32,128,1,1,2,0,0.00396931,0.0149302
32,128,1,1,4,0,0.00348928,0.0133286
32,128,1,1,8,0,0.00330341,0.0127562
32,128,1,1,16,0,0.00322915,0.0125396
32,128,1,1,16,1,0.00322787,0.0125328
32,128,1,1,8,1,0.00330341,0.0127528
32,128,1,1,4,1,0.00349344,0.0133038
32,128,1,1,2,1,0.00398059,0.0149164
32,128,1,1,1,1,0.00495272,0.0177979
32,128,1,1,1,2,0.00495841,0.0178616
32,128,1,1,2,2,0.003979,0.0149344
32,128,1,1,4,2,0.00349387,0.013299
32,128,1,1,8,2,0.00329987,0.0127637
32,128,1,1,16,2,0.00322815,0.012538
32,128,2,0,1,0,0.004985,0.0111993
32,128,2,0,2,0,0.00400785,0.00934356
32,128,2,0,4,0,0.00352013,0.00820241
32,128,2,0,8,0,0.00333456,0.007868
32,128,2,0,16,0,0.00326103,0.00777444
32,128,2,0,16,1,0.00326,0.00776556
32,128,2,0,8,1,0.00333628,0.00786441
32,128,2,0,4,1,0.00352059,0.00820787
32,128,2,0,2,1,0.00401372,0.00936274
32,128,2,0,1,1,0.00501259,0.0110813
32,128,2,0,1,2,0.00501144,0.011177
32,128,2,0,2,2,0.00401087,0.00934256
32,128,2,0,4,2,0.003521,0.008219
32,128,2,0,8,2,0.00333713,0.00786959
32,128,2,0,16,2,0.00325931,0.00776756
32,128,2,1,1,0,0.00500041,0.017906
32,128,2,1,2,0,0.00401272,0.0150117
32,128,2,1,4,0,0.00352528,0.0133364
32,128,2,1,8,0,0.00333726,0.01279
32,128,2,1,16,0,0.00326,0.012576
32,128,2,1,16,1,0.00326,0.0125774
32,128,2,1,8,1,0.00333413,0.0127874
32,128,2,1,4,1,0.00351756,0.0133323
32,128,2,1,2,1,0.00400615,0.0149957
32,128,2,1,1,1,0.00499172,0.0179218
32,128,2,1,1,2,0.00498928,0.017784
32,128,2,1,2,2,0.00400713,0.0149912
32,128,2,1,4,2,0.00351744,0.0133168
32,128,2,1,8,2,0.00333556,0.0128004
32,128,2,1,16,2,0.00325959,0.0125693
32,256,1,0,1,0,0.00496,0.0109774
32,256,1,0,2,0,0.00498128,0.0111146
32,256,1,0,4,0,0.00398456,0.00927472
32,256,1,0,8,0,0.00355685,0.00815287
32,256,1,0,16,0,0.00334356,0.00782626
32,256,1,0,16,1,0.00334372,0.00782059
32,256,1,0,8,1,0.00355841,0.008176
32,256,1,0,4,1,0.00398387,0.00930159
32,256,1,0,2,1,0.00497087,0.0112063
32,256,1,0,1,1,0.00496844,0.0111646
32,256,1,0,1,2,0.00497215,0.0111912
32,256,1,0,2,2,0.00496641,0.0112603
32,256,1,0,4,2,0.00398369,0.00928244
32,256,1,0,8,2,0.003556,0.00817287
32,256,1,0,16,2,0.00334356,0.00782341
32,256,1,1,1,0,0.004958,0.0178521
32,256,1,1,2,0,0.004956,0.0178524
32,256,1,1,4,0,0.00398315,0.0149297
32,256,1,1,8,0,0.00355872,0.0133409
32,256,1,1,16,0,0.00334259,0.0127474
32,256,1,1,16,1,0.00334313,0.0127433
32,256,1,1,8,1,0.00356031,0.0133568
32,256,1,1,4,1,0.00398559,0.0148832
32,256,1,1,2,1,0.00497159,0.0177062
32,256,1,1,1,1,0.00495913,0.0179022
32,256,1,1,1,2,0.00496628,0.0179017
32,256,1,1,2,2,0.00497303,0.0177756
32,256,1,1,4,2,0.00398556,0.0149176
32,256,1,1,8,2,0.00355715,0.0133511
32,256,1,1,16,2,0.00334441,0.0127439
32,256,2,0,1,0,0.00499044,0.0110504
32,256,2,0,2,0,0.00499715,0.0111624
32,256,2,0,4,0,0.00402528,0.00930844
32,256,2,0,8,0,0.00358041,0.00820531
32,256,2,0,16,0,0.00337474,0.00784287
32,256,2,0,16,1,0.00337656,0.00783774
32,256,2,0,8,1,0.00358256,0.00819572
32,256,2,0,4,1,0.00402472,0.009295
32,256,2,0,2,1,0.00500659,0.0113536
32,256,2,0,1,1,0.00500044,0.0112624
32,256,2,0,1,2,0.00500072,0.01122
32,256,2,0,2,2,0.00500846,0.0113091
32,256,2,0,4,2,0.00402828,0.0093
32,256,2,0,8,2,0.00358644,0.00817944
32,256,2,0,16,2,0.00337456,0.00783344
32,256,2,1,1,0,0.00501044,0.0179072
