rows,dim,dtype,format,warps,lanes,trial,had_ms,fused_ms
32,64,1,0,1,32,0,0.0081981,0.0152489
32,64,1,0,2,32,0,0.00842438,0.0153233
32,64,1,0,4,32,0,0.00844251,0.0154392
32,64,1,0,4,32,1,0.00843992,0.015433
32,64,1,0,2,32,1,0.00841021,0.015305
32,64,1,0,1,32,1,0.00805379,0.0151622
32,64,1,0,1,32,2,0.00850392,0.015198
32,64,1,0,2,32,2,0.00797151,0.0152969
32,64,1,0,4,32,2,0.00847314,0.0154287
32,64,1,1,1,32,0,0.00783802,0.115294
32,64,1,1,2,32,0,0.00836053,0.11504
32,64,1,1,4,32,0,0.00844023,0.115976
32,64,1,1,4,32,1,0.00788358,0.116438
32,64,1,1,2,32,1,0.00835383,0.115853
32,64,1,1,1,32,1,0.00851749,0.11587
32,64,1,1,1,32,2,0.00833691,0.115977
32,64,1,1,2,32,2,0.00835474,0.115961
32,64,1,1,4,32,2,0.00808808,0.116816
32,64,2,0,1,32,0,0.00844343,0.0154051
32,64,2,0,2,32,0,0.00853623,0.0156754
32,64,2,0,4,32,0,0.00896564,0.0157979
32,64,2,0,4,32,1,0.00893943,0.015797
32,64,2,0,2,32,1,0.00872335,0.015682
32,64,2,0,1,32,1,0.00845897,0.0154106
32,64,2,0,1,32,2,0.00881996,0.0154142
32,64,2,0,2,32,2,0.00896015,0.0156826
32,64,2,0,4,32,2,0.00878537,0.0157909
32,64,2,1,1,32,0,0.00860587,0.116074
32,64,2,1,2,32,0,0.00866164,0.116138
32,64,2,1,4,32,0,0.00880991,0.116944
32,64,2,1,4,32,1,0.00895192,0.116845
32,64,2,1,2,32,1,0.00878431,0.115653
32,64,2,1,1,32,1,0.00840229,0.11544
32,64,2,1,1,32,2,0.00902339,0.115694
32,64,2,1,2,32,2,0.00854568,0.11572
32,64,2,1,4,32,2,0.00880549,0.116186
32,128,1,0,1,32,0,0.010805,0.0240568
32,128,1,0,2,32,0,0.0112276,0.0243087
32,128,1,0,4,32,0,0.0111714,0.0246473
32,128,1,0,4,32,1,0.0112763,0.0246542
32,128,1,0,2,32,1,0.0112264,0.0243144
32,128,1,0,1,32,1,0.0108111,0.0240424
32,128,1,0,1,32,2,0.0108155,0.0240442
32,128,1,0,2,32,2,0.0113091,0.0242053
32,128,1,0,4,32,2,0.0113944,0.0246622
32,128,1,1,1,32,0,0.0108887,0.138342
32,128,1,1,2,32,0,0.0114249,0.138751
32,128,1,1,4,32,0,0.011323,0.139786
32,128,1,1,4,32,1,0.0113138,0.139041
32,128,1,1,2,32,1,0.011331,0.138142
32,128,1,1,1,32,1,0.0106866,0.138197
32,128,1,1,1,32,2,0.0108815,0.138533
32,128,1,1,2,32,2,0.0113342,0.138343
32,128,1,1,4,32,2,0.0112096,0.139181
32,128,2,0,1,32,0,0.0124853,0.0252357
32,128,2,0,2,32,0,0.0125694,0.0256448
32,128,2,0,4,32,0,0.0125445,0.0260538
32,128,2,0,4,32,1,0.0126877,0.0260343
32,128,2,0,2,32,1,0.0126141,0.0256475
32,128,2,0,1,32,1,0.0125755,0.0252414
32,128,2,0,1,32,2,0.01238,0.0252521
32,128,2,0,2,32,2,0.0124754,0.025639
32,128,2,0,4,32,2,0.0125414,0.0260459
32,128,2,1,1,32,0,0.012661,0.140399
32,128,2,1,2,32,0,0.0125542,0.139947
32,128,2,1,4,32,0,0.0124218,0.140899
32,128,2,1,4,32,1,0.0124245,0.141271
32,128,2,1,2,32,1,0.0125454,0.140219
32,128,2,1,1,32,1,0.0126784,0.141042
32,128,2,1,1,32,2,0.0125536,0.141441
32,128,2,1,2,32,2,0.012659,0.140542
32,128,2,1,4,32,2,0.012532,0.14145
32,256,1,0,1,32,0,0.0177719,0.0435601
32,256,1,0,2,32,0,0.0179118,0.0438793
32,256,1,0,4,32,0,0.0180855,0.0444501
32,256,1,0,4,32,1,0.0181937,0.0444372
32,256,1,0,2,32,1,0.0180158,0.0438784
32,256,1,0,1,32,1,0.0176593,0.043566
32,256,1,0,1,32,2,0.0176661,0.0435636
32,256,1,0,2,32,2,0.017908,0.0438679
32,256,1,0,4,32,2,0.0182071,0.0444393
32,256,1,1,1,32,0,0.0178034,0.187957
32,256,1,1,2,32,0,0.0179333,0.187847
32,256,1,1,4,32,0,0.0183013,0.189748
32,256,1,1,4,32,1,0.0181952,0.189814
32,256,1,1,2,32,1,0.0180428,0.188114
32,256,1,1,1,32,1,0.017696,0.188947
32,256,1,1,1,32,2,0.0178013,0.187961
32,256,1,1,2,32,2,0.0179191,0.188018
32,256,1,1,4,32,2,0.0183075,0.190067
32,256,2,0,1,32,0,0.021083,0.0462071
32,256,2,0,2,32,0,0.0214595,0.0465751
32,256,2,0,4,32,0,0.0217751,0.0470165
32,256,2,0,4,32,1,0.0217859,0.0470107
32,256,2,0,2,32,1,0.0214613,0.0465662
32,256,2,0,1,32,1,0.0210811,0.0462027
32,256,2,0,1,32,2,0.0210754,0.0462085
32,256,2,0,2,32,2,0.0214612,0.0465594
32,256,2,0,4,32,2,0.0217867,0.0470158
32,256,2,1,1,32,0,0.0210496,0.192922
32,256,2,1,2,32,0,0.0217099,0.192882
32,256,2,1,4,32,0,0.0219107,0.19455
32,256,2,1,4,32,1,0.0219092,0.194627
32,256,2,1,2,32,1,0.021607,0.192619
32,256,2,1,1,32,1,0.0210571,0.1931
32,256,2,1,1,32,2,0.0210409,0.193354
32,256,2,1,2,32,2,0.0215977,0.192687
32,256,2,1,4,32,2,0.0219127,0.194685
32,512,1,0,1,32,0,0.0350049,0.0946077
32,512,1,0,2,32,0,0.0353521,0.0948861
32,512,1,0,4,32,0,0.0357597,0.0966964
32,512,1,0,4,32,1,0.0358466,0.0965947
32,512,1,0,2,32,1,0.0353039,0.0949178
32,512,1,0,1,32,1,0.0350011,0.0947122
32,512,1,0,1,32,2,0.0349908,0.0947104
32,512,1,0,2,32,2,0.035314,0.0948396
32,512,1,0,4,32,2,0.0358394,0.096576
32,512,1,1,1,32,0,0.0351418,0.291722
32,512,1,1,2,32,0,0.0353777,0.294984
32,512,1,1,4,32,0,0.0357699,0.297173
32,512,1,1,4,32,1,0.0358715,0.297788
32,512,1,1,2,32,1,0.0353827,0.294086
32,512,1,1,1,32,1,0.0351409,0.292027
32,512,1,1,1,32,2,0.0351349,0.29182
32,512,1,1,2,32,2,0.0353829,0.294001
32,512,1,1,4,32,2,0.0358776,0.297676
32,512,2,0,1,32,0,0.0373894,0.0957947
32,512,2,0,2,32,0,0.0374033,0.0961451
32,512,2,0,4,32,0,0.0379733,0.09787
32,512,2,0,4,32,1,0.0379962,0.0978662
32,512,2,0,2,32,1,0.0373024,0.0961469
32,512,2,0,1,32,1,0.0374906,0.0957851
32,512,2,0,1,32,2,0.0375191,0.0956802
32,512,2,0,2,32,2,0.0374069,0.0960373
32,512,2,0,4,32,2,0.0379857,0.0978607
32,512,2,1,1,32,0,0.0375209,0.303535
32,512,2,1,2,32,0,0.0374763,0.305526
32,512,2,1,4,32,0,0.0379621,0.308697
32,512,2,1,4,32,1,0.0379616,0.308974
32,512,2,1,2,32,1,0.0374766,0.305834
32,512,2,1,1,32,1,0.0376297,0.304016
32,512,2,1,1,32,2,0.0376293,0.303691
32,512,2,1,2,32,2,0.0373725,0.305586
32,512,2,1,4,32,2,0.0379666,0.309282
32,1024,1,0,1,32,0,0.0660899,0.186037
32,1024,1,0,2,32,0,0.065396,0.186684
32,1024,1,0,4,32,0,0.0665307,0.190125
32,1024,1,0,4,32,1,0.0664224,0.190112
32,1024,1,0,2,32,1,0.0652713,0.186666
32,1024,1,0,1,32,1,0.0661006,0.186035
32,1024,1,0,1,32,2,0.0662002,0.186029
32,1024,1,0,2,32,2,0.0654039,0.186664
32,1024,1,0,4,32,2,0.0664151,0.19011
32,1024,1,1,1,32,0,0.0662821,0.502095
32,1024,1,1,2,32,0,0.0649868,0.502402
32,1024,1,1,4,32,0,0.0665132,0.501619
32,1024,1,1,4,32,1,0.0665144,0.501752
32,1024,1,1,2,32,1,0.0651369,0.493882
32,1024,1,1,1,32,1,0.0662834,0.493408
32,1024,1,1,1,32,2,0.0661748,0.493311
32,1024,1,1,2,32,2,0.0651331,0.49392
32,1024,1,1,4,32,2,0.0665114,0.50196
32,1024,2,0,1,32,0,0.0703008,0.188193
32,1024,2,0,2,32,0,0.0717893,0.188101
32,1024,2,0,4,32,0,0.0728724,0.191797
32,1024,2,0,4,32,1,0.0729841,0.191786
32,1024,2,0,2,32,1,0.0716929,0.188104
32,1024,2,0,1,32,1,0.0702993,0.188196
32,1024,2,0,1,32,2,0.0703142,0.188183
32,1024,2,0,2,32,2,0.0716748,0.188112
32,1024,2,0,4,32,2,0.0729859,0.191812
32,1024,2,1,1,32,0,0.0703319,0.500055
32,1024,2,1,2,32,0,0.0716143,0.502231
32,1024,2,1,4,32,0,0.0729699,0.510182
32,1024,2,1,4,32,1,0.0729701,0.5111
32,1024,2,1,2,32,1,0.071607,0.510963
32,1024,2,1,1,32,1,0.0704349,0.508961
32,1024,2,1,1,32,2,0.0704363,0.509168
32,1024,2,1,2,32,2,0.0714976,0.510951
32,1024,2,1,4,32,2,0.0728672,0.519227
8192,64,1,0,1,32,0,0.0258569,0.0591714
8192,64,1,0,2,32,0,0.0174729,0.0396667
8192,64,1,0,4,32,0,0.0152341,0.0302555
8192,64,1,0,4,32,1,0.0140247,0.0302612
8192,64,1,0,2,32,1,0.0176969,0.0396827
8192,64,1,0,1,32,1,0.0258587,0.059044
8192,64,1,0,1,32,2,0.0257637,0.059052
8192,64,1,0,2,32,2,0.0178336,0.0396608
8192,64,1,0,4,32,2,0.0139017,0.0302426
8192,64,1,1,1,32,0,0.0258715,0.44305
8192,64,1,1,2,32,0,0.0175342,0.293279
8192,64,1,1,4,32,0,0.0147232,0.228164
8192,64,1,1,4,32,1,0.0139614,0.227976
8192,64,1,1,2,32,1,0.0175633,0.293342
8192,64,1,1,1,32,1,0.0258661,0.442106
8192,64,1,1,1,32,2,0.0258491,0.433914
8192,64,1,1,2,32,2,0.0175151,0.285139
