rows,dim,dtype,format,warps,lanes,trial,had_ms,fused_ms
32,64,1,0,1,32,0,0.00839512,0.0142139
32,64,1,0,2,32,0,0.00808609,0.0136364
32,64,1,0,4,32,0,0.00794103,0.0137658
32,64,1,0,8,32,0,0.00832152,0.0133819
32,64,1,0,16,32,0,0.00833509,0.0136238
32,64,1,0,16,32,1,0.00770347,0.0136448
32,64,1,0,8,32,1,0.00835078,0.0134747
32,64,1,0,4,32,1,0.00819535,0.0137486
32,64,1,0,2,32,1,0.00803657,0.0136194
32,64,1,0,1,32,1,0.00809204,0.0141938
32,64,1,0,1,32,2,0.00848046,0.0140733
32,64,1,0,2,32,2,0.00804541,0.0136254
32,64,1,0,4,32,2,0.00818773,0.0138501
32,64,1,0,8,32,2,0.0078816,0.013492
32,64,1,0,16,32,2,0.00836632,0.0136261
32,64,1,1,1,32,0,0.00799848,0.211231
32,64,1,1,2,32,0,0.00799909,0.212788
32,64,1,1,4,32,0,0.00797349,0.219585
32,64,1,1,8,32,0,0.00834088,0.220249
32,64,1,1,16,32,0,0.00834499,0.225951
32,64,1,1,16,32,1,0.0079075,0.22642
32,64,1,1,8,32,1,0.00836099,0.220995
32,64,1,1,4,32,1,0.0082144,0.219519
32,64,1,1,2,32,1,0.00842621,0.21402
32,64,1,1,1,32,1,0.00854126,0.211403
32,64,1,1,1,32,2,0.00814309,0.211385
32,64,1,1,2,32,2,0.00839726,0.212963
32,64,1,1,4,32,2,0.00798537,0.219423
32,64,1,1,8,32,2,0.00817722,0.220901
32,64,1,1,16,32,2,0.00835352,0.226571
32,64,2,0,1,32,0,0.00864716,0.0143273
32,64,2,0,2,32,0,0.00879863,0.0138319
32,64,2,0,4,32,0,0.0087712,0.0140974
32,64,2,0,8,32,0,0.00861181,0.0138537
32,64,2,0,16,32,0,0.00884922,0.0138818
32,64,2,0,16,32,1,0.00881143,0.0138933
32,64,2,0,8,32,1,0.00888031,0.0137154
32,64,2,0,4,32,1,0.00877303,0.0141012
32,64,2,0,2,32,1,0.00898636,0.0137516
32,64,2,0,1,32,1,0.00861562,0.0144274
32,64,2,0,1,32,2,0.00862629,0.0144552
32,64,2,0,2,32,2,0.00897219,0.0138493
32,64,2,0,4,32,2,0.00878507,0.0140766
32,64,2,0,8,32,2,0.00877074,0.013723
32,64,2,0,16,32,2,0.00881829,0.01389
32,64,2,1,1,32,0,0.0086685,0.211897
32,64,2,1,2,32,0,0.0088957,0.213361
32,64,2,1,4,32,0,0.00889478,0.219795
32,64,2,1,8,32,0,0.00881371,0.220749
32,64,2,1,16,32,0,0.00877135,0.226889
32,64,2,1,16,32,1,0.00877928,0.226742
32,64,2,1,8,32,1,0.00881585,0.22109
32,64,2,1,4,32,1,0.00886019,0.220253
32,64,2,1,2,32,1,0.00889554,0.213317
32,64,2,1,1,32,1,0.00867078,0.21148
32,64,2,1,1,32,2,0.00865051,0.211739
32,64,2,1,2,32,2,0.00889737,0.213085
32,64,2,1,4,32,2,0.00885608,0.219244
32,64,2,1,8,32,2,0.00858255,0.220199
32,64,2,1,16,32,2,0.00865295,0.226466
32,128,1,0,1,32,0,0.0108308,0.0226798
32,128,1,0,2,32,0,0.0110971,0.0232347
32,128,1,0,4,32,0,0.011213,0.0235445
32,128,1,0,8,32,0,0.0111849,0.0236148
32,128,1,0,16,32,0,0.0111889,0.0234592
32,128,1,0,16,32,1,0.0113682,0.0235793
32,128,1,0,8,32,1,0.0111759,0.0234184
32,128,1,0,4,32,1,0.0112265,0.0235351
32,128,1,0,2,32,1,0.0112814,0.0232325
32,128,1,0,1,32,1,0.0108315,0.0226782
32,128,1,0,1,32,2,0.011325,0.0226706
32,128,1,0,2,32,2,0.0112846,0.0232233
32,128,1,0,4,32,2,0.0114293,0.0235362
32,128,1,0,8,32,2,0.011175,0.0234321
32,128,1,0,16,32,2,0.011387,0.0235677
32,128,1,1,1,32,0,0.01098,0.320645
32,128,1,1,2,32,0,0.0111682,0.323971
32,128,1,1,4,32,0,0.0113478,0.334954
32,128,1,1,8,32,0,0.0113155,0.338294
32,128,1,1,16,32,0,0.0115138,0.348681
32,128,1,1,16,32,1,0.0115186,0.348798
32,128,1,1,8,32,1,0.0113367,0.338752
32,128,1,1,4,32,1,0.0113707,0.334687
32,128,1,1,2,32,1,0.0113489,0.323771
32,128,1,1,1,32,1,0.0108279,0.319644
32,128,1,1,1,32,2,0.0108119,0.319764
32,128,1,1,2,32,2,0.0113417,0.323447
32,128,1,1,4,32,2,0.0113429,0.334226
32,128,1,1,8,32,2,0.011298,0.338036
32,128,1,1,16,32,2,0.0114895,0.348341
32,128,2,0,1,32,0,0.0126082,0.0236815
32,128,2,0,2,32,0,0.0124779,0.0244247
32,128,2,0,4,32,0,0.0126513,0.0246037
32,128,2,0,8,32,0,0.012483,0.0246586
32,128,2,0,16,32,0,0.0125835,0.024798
32,128,2,0,16,32,1,0.0125818,0.0247938
32,128,2,0,8,32,1,0.012382,0.0246498
32,128,2,0,4,32,1,0.0126496,0.0246984
32,128,2,0,2,32,1,0.0124741,0.0244251
32,128,2,0,1,32,1,0.0127075,0.0236738
32,128,2,0,1,32,2,0.012829,0.0236773
32,128,2,0,2,32,2,0.0124754,0.0244216
32,128,2,0,4,32,2,0.0125518,0.0247066
32,128,2,0,8,32,2,0.0123829,0.0246621
32,128,2,0,16,32,2,0.0126744,0.0248101
32,128,2,1,1,32,0,0.0124946,0.322035
32,128,2,1,2,32,0,0.0124075,0.32557
32,128,2,1,4,32,0,0.0125498,0.336476
32,128,2,1,8,32,0,0.0126298,0.339816
32,128,2,1,16,32,0,0.0127028,0.350247
32,128,2,1,16,32,1,0.0127902,0.350382
