rows,dim,dtype,format,warps,trial,had_ms,fused_ms
32,64,1,0,1,0,0.0116766,0.0368785
32,64,1,0,2,0,0.0112631,0.0370296
32,64,1,0,4,0,0.0113541,0.0369771
32,64,1,0,4,1,0.011107,0.0369717
32,64,1,0,2,1,0.011264,0.0370142
32,64,1,0,1,1,0.0121964,0.036835
32,64,1,0,1,2,0.0121583,0.036818
32,64,1,0,2,2,0.0114767,0.0370004
32,64,1,0,4,2,0.0112023,0.0369606
32,64,1,1,1,0,0.011333,0.164299
32,64,1,1,2,0,0.0111307,0.163822
32,64,1,1,4,0,0.0111688,0.165213
32,64,1,1,4,1,0.0110824,0.165162
32,64,1,1,2,1,0.011344,0.163641
32,64,1,1,1,1,0.0113349,0.164208
32,64,1,1,1,2,0.0113406,0.16454
32,64,1,1,2,2,0.0111378,0.163872
32,64,1,1,4,2,0.0110758,0.164904
32,64,2,0,1,0,0.0140721,0.0387819
32,64,2,0,2,0,0.013598,0.037165
32,64,2,0,4,0,0.0137955,0.0369751
32,64,2,0,4,1,0.014082,0.0369807
32,64,2,0,2,1,0.0141506,0.0371682
32,64,2,0,1,1,0.014183,0.0387872
32,64,2,0,1,2,0.0146993,0.0387902
32,64,2,0,2,2,0.0137082,0.0371764
32,64,2,0,4,2,0.0139849,0.0369873
32,64,2,1,1,0,0.0140693,0.166564
32,64,2,1,2,0,0.0136273,0.160866
32,64,2,1,4,0,0.0136962,0.15756
32,64,2,1,4,1,0.0136998,0.157124
32,64,2,1,2,1,0.0135976,0.157388
32,64,2,1,1,1,0.013945,0.157946
32,64,2,1,1,2,0.013941,0.157806
32,64,2,1,2,2,0.0134952,0.157309
32,64,2,1,4,2,0.0135755,0.156652
32,128,1,0,1,0,0.0115375,0.0370624
32,128,1,0,2,0,0.0113411,0.0366025
32,128,1,0,4,0,0.0112486,0.0365114
32,128,1,0,4,1,0.0113602,0.0365192
32,128,1,0,2,1,0.0114711,0.0367032
32,128,1,0,1,1,0.0116175,0.0370491
32,128,1,0,1,2,0.0115275,0.0371837
32,128,1,0,2,2,0.0114557,0.0367124
32,128,1,0,4,2,0.0112495,0.036526
32,128,1,1,1,0,0.0116241,0.155657
32,128,1,1,2,0,0.0113914,0.155651
32,128,1,1,4,0,0.0111764,0.155429
32,128,1,1,4,1,0.0111596,0.155338
32,128,1,1,2,1,0.0113922,0.15596
32,128,1,1,1,1,0.0115086,0.156117
32,128,1,1,1,2,0.0116123,0.15639
